,which,timesteps,mass,mass_change,outflow
0,fom,0.0025,1.0005538639126281,0.10131954811262744,-1.6014009880441234e-06
1,fom,0.005,1.0007425446498122,0.04962504163450454,7.020593298524437e-06
2,fom,0.0075,1.0008019891208007,0.01375920709643097,4.425882361374991e-05
3,fom,0.01,1.0008113406852943,-0.0008740650121907834,0.00013228537650281165
4,fom,0.0125,1.0007976187957397,-0.00818780363789351,0.00029458441253303824
5,fom,0.015000000000000001,1.0007704016671048,-0.01284283495643912,0.0005546553554451218
6,fom,0.0175,1.0007334046209575,-0.0164059112071957,0.0009352449168548032
7,fom,0.02,1.0006883721110689,-0.019401534956875466,0.0014576865552345494
8,fom,0.0225,1.0006363969461731,-0.02199987445048457,0.0021409022148195997
9,fom,0.024999999999999998,1.0005783727388164,-0.024250417688032044,0.002999146161108007
10,fom,0.027499999999999997,1.000515144857733,-0.026167981762137416,0.004036154685416544
11,fom,0.029999999999999995,1.0004475328300058,-0.027780429368240434,0.005229925628417853
12,fom,0.032499999999999994,1.0003762427108918,-0.029188860623596824,0.006494891361206925
13,fom,0.034999999999999996,1.0003015885268878,-0.030684972950867362,0.007593726213805344
14,fom,0.0375,1.0002228178461374,-0.03298995279883421,0.007945885529029143
15,fom,0.04,1.0001366387628936,-0.037715914300218145,0.006241793147260238
16,fom,0.0425,1.0000342382746363,-0.048197980244779615,-0.00027834835320670194
17,fom,0.045000000000000005,0.9998956488616697,-0.0708908231114247,-0.01707696695129829
18,fom,0.04750000000000001,0.9996797841590792,-0.11754195408639756,-0.05434483333316401
19,fom,0.05000000000000001,0.9993079390912377,-0.20827441990314277,-0.13004857943822612
20,fom,0.05250000000000001,0.9986384120595635,-0.37532392789603186,-0.2741005555243008
21,fom,0.055000000000000014,0.9974313194517576,-0.6659596795762113,-0.5330395930047116
22,fom,0.057500000000000016,0.9953086136616824,-1.1402828048371338,-0.9722305778910884
23,fom,0.06000000000000002,0.9917299054275719,-1.8555815858916747,-1.6668545972965243
24,fom,0.06250000000000001,0.9860307057322241,-2.830109684458515,-2.665918973070551
25,fom,0.06500000000000002,0.9775793570052793,-3.9994465804256363,-3.9246699130166802
26,fom,0.06750000000000002,0.9660334728300959,-5.2130945742776325,-5.261380213278698
27,fom,0.07000000000000002,0.9515138841338912,-6.30715809782203,-6.4404408546332705
28,fom,0.07250000000000002,0.9344976823409857,-7.19872144127558,-7.3423059298593945
29,fom,0.07500000000000002,0.9155202769275133,-7.903430096791486,-8.012594324775845
30,fom,0.07750000000000003,0.8949805318570283,-8.472604713615128,-8.548694417497806
31,fom,0.08000000000000003,0.8731572533594376,-8.934788923592873,-8.995601214490529
32,fom,0.08250000000000003,0.8503065872390639,-9.289486630270915,-9.343409607415351
33,fom,0.08500000000000003,0.826709820208083,-9.52929453982172,-9.573493597559025
34,fom,0.08750000000000004,0.8026601145399553,-9.65468489517185,-9.684589301032956
35,fom,0.09000000000000004,0.7784363957322238,-9.673499918097427,-9.688043363230472
