,50.0,100.0,200.0,300.0,500.0,1000.0
0.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999
0.001503006012024048,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0000000000000007
0.003006012024048096,1.0000000000000002,1.0000000000000002,1.0,1.0,0.9999999999999991,1.000000000000001
0.0045090180360721445,1.0000000000000002,1.0,1.0,0.9999999999999998,0.9999999999999968,1.0000000000000018
0.006012024048096192,1.0000000000000009,1.0,0.9999999999999999,0.999999999999999,0.9999999999999932,1.0000000000000044
0.00751503006012024,1.000000000000001,0.9999999999999997,1.0000000000000002,0.9999999999999981,0.9999999999999888,1.0000000000000098
0.009018036072144289,1.0000000000000018,0.9999999999999997,1.0000000000000002,0.9999999999999964,0.9999999999999837,1.0000000000000189
0.010521042084168337,1.0000000000000022,0.9999999999999996,1.0,0.999999999999994,0.999999999999978,1.0000000000000302
0.012024048096192385,1.0000000000000033,0.999999999999999,0.9999999999999999,0.9999999999999902,0.9999999999999724,1.000000000000043
0.013527054108216433,1.0000000000000042,0.999999999999999,0.9999999999999999,0.9999999999999849,0.9999999999999674,1.0000000000000584
0.01503006012024048,1.0000000000000056,0.9999999999999984,0.9999999999999997,0.9999999999999785,0.9999999999999619,1.0000000000000748
0.016533066132264528,1.0000000000000069,0.9999999999999976,0.9999999999999996,0.9999999999999704,0.9999999999999574,1.0000000000000906
0.018036072144288578,1.0000000000000084,0.9999999999999973,0.9999999999999996,0.9999999999999599,0.9999999999999535,1.0000000000001048
0.019539078156312624,1.0000000000000107,0.9999999999999964,0.9999999999999994,0.9999999999999477,0.9999999999999499,1.0000000000001144
0.021042084168336674,1.000000000000013,0.9999999999999954,0.9999999999999997,0.9999999999999329,0.9999999999999473,1.0000000000001168
0.02254509018036072,1.0000000000000162,0.9999999999999942,0.9999999999999993,0.9999999999999157,0.9999999999999448,1.0000000000001121
0.02404809619238477,1.0000000000000193,0.999999999999993,0.9999999999999993,0.9999999999998958,0.9999999999999422,1.000000000000099
0.02555110220440882,1.000000000000023,0.9999999999999912,0.9999999999999994,0.9999999999998731,0.9999999999999402,1.0000000000000784
0.027054108216432865,1.0000000000000269,0.999999999999989,0.9999999999999996,0.9999999999998478,0.9999999999999383,1.0000000000000493
0.028557114228456915,1.000000000000031,0.999999999999987,0.9999999999999997,0.9999999999998187,0.9999999999999356,1.0000000000000133
0.03006012024048096,1.000000000000036,0.9999999999999841,1.0,0.9999999999997866,0.9999999999999326,0.9999999999999705
0.03156312625250501,1.0000000000000406,0.9999999999999815,1.0000000000000002,0.9999999999997505,0.9999999999999293,0.9999999999999221
0.033066132264529056,1.0000000000000455,0.9999999999999779,1.0000000000000002,0.999999999999711,0.9999999999999258,0.9999999999998658
0.034569138276553106,1.0000000000000506,0.9999999999999742,1.0000000000000007,0.9999999999996673,0.9999999999999225,0.9999999999998024
0.036072144288577156,1.0000000000000562,0.9999999999999706,1.0000000000000009,0.9999999999996193,0.9999999999999198,0.999999999999732
0.037575150300601205,1.0000000000000617,0.9999999999999664,1.0000000000000013,0.9999999999995676,0.9999999999999176,0.999999999999656
0.03907815631262525,1.000000000000068,0.9999999999999617,1.0000000000000018,0.9999999999995113,0.9999999999999165,0.999999999999573
0.0405811623246493,1.0000000000000737,0.9999999999999569,1.0000000000000024,0.9999999999994512,0.9999999999999167,0.999999999999483
0.04208416833667335,1.0000000000000793,0.9999999999999509,1.000000000000003,0.9999999999993863,0.9999999999999187,0.9999999999993887
0.0435871743486974,1.0000000000000848,0.9999999999999452,1.0000000000000036,0.9999999999993171,0.9999999999999224,0.9999999999992892
0.04509018036072144,1.0000000000000908,0.9999999999999385,1.0000000000000047,0.999999999999243,0.9999999999999282,0.9999999999991835
0.04659318637274549,1.0000000000000964,0.9999999999999312,1.0000000000000058,0.9999999999991636,0.9999999999999372,0.9999999999990716
0.04809619238476954,1.0000000000001017,0.9999999999999235,1.0000000000000067,0.9999999999990792,0.9999999999999492,0.9999999999989543
0.04959919839679359,1.0000000000001068,0.9999999999999148,1.0000000000000075,0.9999999999989895,0.999999999999965,0.9999999999988277
0.05110220440881764,1.000000000000112,0.9999999999999062,1.0000000000000087,0.9999999999988944,0.9999999999999843,0.999999999998692
0.05260521042084168,1.000000000000117,0.9999999999998963,1.0000000000000098,0.9999999999987939,1.0000000000000082,0.9999999999985465
0.05410821643286573,1.0000000000001212,0.9999999999998858,1.000000000000011,0.9999999999986872,1.0000000000000362,0.9999999999983893
0.05561122244488978,1.0000000000001252,0.9999999999998748,1.0000000000000129,0.9999999999985741,1.0000000000000686,0.9999999999982213
0.05711422845691383,1.000000000000129,0.9999999999998626,1.0000000000000144,0.9999999999984555,1.0000000000001066,0.9999999999980408
0.05861723446893787,1.0000000000001321,0.9999999999998496,1.000000000000016,0.9999999999983298,1.0000000000001503,0.9999999999978467
0.06012024048096192,1.0000000000001352,0.9999999999998358,1.0000000000000173,0.9999999999981972,1.0000000000001996,0.9999999999976392
0.06162324649298597,1.000000000000138,0.999999999999821,1.0000000000000193,0.9999999999980581,1.000000000000255,0.9999999999974177
0.06312625250501001,1.0000000000001403,0.9999999999998053,1.0000000000000209,0.9999999999979113,1.0000000000003157,0.9999999999971817
0.06462925851703406,1.0000000000001423,0.9999999999997886,1.0000000000000222,0.9999999999977572,1.0000000000003832,0.99999999999693
0.06613226452905811,1.0000000000001439,0.9999999999997706,1.0000000000000244,0.9999999999975956,1.0000000000004579,0.9999999999966628
