,which,timesteps,mass,mass_change,outflow
0,fom,0.0015,0.3276799999999998,-1.1368683772161603e-13,6.757345143007325
1,fom,0.003,0.3276799999999997,-1.850371707708594e-14,6.757345143007328
2,fom,0.0045000000000000005,0.32767999999999975,3.700743415417188e-14,6.7573451430073295
3,fom,0.006,0.3276799999999998,1.850371707708594e-14,6.757345143007333
4,fom,0.0075,0.3276799999999998,-3.700743415417188e-14,6.757345143007333
5,fom,0.009,0.3276799999999997,-1.850371707708594e-14,6.757345143007338
6,fom,0.010499999999999999,0.32767999999999975,3.700743415417188e-14,6.757345143007341
7,fom,0.011999999999999999,0.3276799999999998,1.850371707708594e-14,6.757345143007345
8,fom,0.013499999999999998,0.3276799999999998,1.850371707708594e-14,6.757345143007349
9,fom,0.014999999999999998,0.32767999999999986,3.700743415417188e-14,6.757345143007351
10,fom,0.016499999999999997,0.3276799999999999,0.0,6.757345143007349
11,fom,0.018,0.32767999999999986,0.0,6.757345143007346
12,fom,0.0195,0.3276799999999999,5.551115123125783e-14,6.757345143007351
13,fom,0.021,0.32768,0.0,6.757345143007349
14,fom,0.022500000000000003,0.3276799999999999,0.0,6.757345143007343
15,fom,0.024000000000000004,0.32768,5.551115123125783e-14,6.757345143007341
16,fom,0.025500000000000005,0.3276800000000001,0.0,6.757345143007335
17,fom,0.027000000000000007,0.32768,-1.850371707708594e-14,6.75734514300733
18,fom,0.028500000000000008,0.32768,-3.700743415417188e-14,6.757345143007323
19,fom,0.03000000000000001,0.3276799999999999,-5.551115123125783e-14,6.757345143007314
20,fom,0.03150000000000001,0.32767999999999986,-3.700743415417188e-14,6.7573451430073055
21,fom,0.03300000000000001,0.3276799999999998,-3.700743415417188e-14,6.757345143007294
22,fom,0.03450000000000001,0.32767999999999975,-5.551115123125783e-14,6.7573451430072815
23,fom,0.03600000000000001,0.32767999999999964,-9.251858538542972e-14,6.757345143007268
24,fom,0.03750000000000001,0.32767999999999947,-9.251858538542972e-14,6.757345143007254
25,fom,0.039000000000000014,0.32767999999999936,-5.551115123125783e-14,6.757345143007235
26,fom,0.040500000000000015,0.3276799999999993,-9.251858538542972e-14,6.757345143007217
27,fom,0.042000000000000016,0.3276799999999991,-1.4802973661668753e-13,6.757345143007201
28,fom,0.04350000000000002,0.32767999999999886,-1.6653345369377348e-13,6.757345143007176
29,fom,0.04500000000000002,0.3276799999999986,-2.0354088784794536e-13,6.7573451430071545
30,fom,0.04650000000000002,0.32767999999999825,-2.220446049250313e-13,6.757345143007132
31,fom,0.04800000000000002,0.3276799999999979,-2.4054832200211723e-13,6.757345143007108
32,fom,0.04950000000000002,0.32767999999999753,-2.0354088784794536e-13,6.757345143007084
33,fom,0.051000000000000024,0.3276799999999973,-2.4054832200211723e-13,6.757345143007064
34,fom,0.052500000000000026,0.3276799999999968,-2.9605947323337506e-13,6.757345143007037
35,fom,0.05400000000000003,0.3276799999999964,-2.7755575615628914e-13,6.757345143007017
36,fom,0.05550000000000003,0.327679999999996,-3.885780586188048e-13,6.757345143006992
37,fom,0.05700000000000003,0.32767999999999525,-4.2558549277297664e-13,6.75734514300697
38,fom,0.05850000000000003,0.3276799999999947,-3.885780586188048e-13,6.757345143006949
39,fom,0.06000000000000003,0.3276799999999941,-3.7007434154171886e-13,6.757345143006924
40,fom,0.061500000000000034,0.3276799999999936,-3.885780586188048e-13,6.757345143006907
41,fom,0.06300000000000003,0.3276799999999929,-4.2558549277297664e-13,6.757345143006882
42,fom,0.06450000000000003,0.3276799999999923,-4.440892098500626e-13,6.75734514300686
43,fom,0.06600000000000003,0.3276799999999916,-4.810966440042345e-13,6.757345143006835
44,fom,0.06750000000000003,0.32767999999999087,-4.810966440042345e-13,6.757345143006806
45,fom,0.06900000000000003,0.32767999999999015,-5.181040781584064e-13,6.757345143006781
46,fom,0.07050000000000003,0.3276799999999893,-6.106226635438361e-13,6.757345143006747
47,fom,0.07200000000000004,0.3276799999999883,-6.476300976980079e-13,6.757345143006715
48,fom,0.07350000000000004,0.32767999999998737,-6.661338147750939e-13,6.757345143006679
49,fom,0.07500000000000004,0.3276799999999863,-7.031412489292658e-13,6.757345143006641
50,fom,0.07650000000000004,0.32767999999998526,-7.031412489292658e-13,6.7573451430066065
51,fom,0.07800000000000004,0.3276799999999842,-7.401486830834377e-13,6.757345143006566
52,fom,0.07950000000000004,0.32767999999998304,-7.956598343146956e-13,6.757345143006531
53,fom,0.08100000000000004,0.3276799999999818,-8.326672684688674e-13,6.757345143006489
54,fom,0.08250000000000005,0.32767999999998054,-8.696747026230393e-13,6.757345143006451
55,fom,0.08400000000000005,0.3276799999999792,-9.066821367772111e-13,6.757345143006414
56,fom,0.08550000000000005,0.3276799999999778,-9.43689570931383e-13,6.757345143006374
57,fom,0.08700000000000005,0.3276799999999764,-9.992007221626409e-13,6.757345143006332
58,fom,0.08850000000000005,0.3276799999999748,-1.0362081563168128e-12,6.757345143006287
59,fom,0.09000000000000005,0.32767999999997327,-1.0732155904709846e-12,6.757345143006246
60,fom,0.09150000000000005,0.3276799999999716,-1.1102230246251565e-12,6.7573451430062015
61,fom,0.09300000000000005,0.32767999999996994,-1.1472304587793285e-12,6.757345143006152
62,fom,0.09450000000000006,0.32767999999996816,-1.2212453270876722e-12,6.757345143006106
63,fom,0.09600000000000006,0.3276799999999663,-1.2582527612418441e-12,6.757345143006055
64,fom,0.09750000000000006,0.3276799999999644,-1.313763912473102e-12,6.7573451430060025
65,fom,0.09900000000000006,0.32767999999996233,-1.3507713466272737e-12,6.75734514300595
66,fom,0.10050000000000006,0.32767999999996034,-1.3877787807814457e-12,6.757345143005895
67,fom,0.10200000000000006,0.32767999999995817,-1.4802973661668755e-12,6.75734514300584
68,fom,0.10350000000000006,0.3276799999999559,-1.4802973661668755e-12,6.757345143005785
69,fom,0.10500000000000007,0.32767999999995373,-1.5173048003210472e-12,6.757345143005729
70,fom,0.10650000000000007,0.32767999999995134,-1.6468308198606487e-12,6.757345143005675
71,fom,0.10800000000000007,0.3276799999999488,-1.7208456881689926e-12,6.7573451430056135
72,fom,0.10950000000000007,0.3276799999999462,-1.7393494052460785e-12,6.757345143005558
73,fom,0.11100000000000007,0.32767999999994357,-1.7578531223231644e-12,6.7573451430055025
74,fom,0.11250000000000007,0.3276799999999409,-1.86887542478568e-12,6.757345143005445
75,fom,0.11400000000000007,0.32767999999993797,-1.924386576016938e-12,6.7573451430053915
76,fom,0.11550000000000007,0.32767999999993513,-1.942890293094024e-12,6.7573451430053355
77,fom,0.11700000000000008,0.32767999999993214,-1.9984014443252818e-12,6.757345143005273
78,fom,0.11850000000000008,0.32767999999992914,-2.0539125955565396e-12,6.757345143005222
79,fom,0.12000000000000008,0.327679999999926,-2.1094237467877974e-12,6.757345143005167
80,fom,0.12150000000000008,0.3276799999999228,-2.1834386150961413e-12,6.757345143005107
81,fom,0.12300000000000008,0.3276799999999194,-2.257453483404485e-12,6.75734514300505
82,fom,0.12450000000000008,0.32767999999991604,-2.275957200481571e-12,6.757345143004994
83,fom,0.12600000000000008,0.3276799999999126,-2.3129646346357427e-12,6.75734514300494
84,fom,0.12750000000000009,0.3276799999999091,-2.3684757858670005e-12,6.757345143004885
85,fom,0.1290000000000001,0.3276799999999055,-2.4424906541753444e-12,6.757345143004831
86,fom,0.1305000000000001,0.32767999999990177,-2.5165055224836883e-12,6.757345143004777
87,fom,0.1320000000000001,0.32767999999989794,-2.5905203907920318e-12,6.757345143004727
88,fom,0.1335000000000001,0.327679999999894,-2.5905203907920318e-12,6.757345143004675
89,fom,0.1350000000000001,0.32767999999989017,-2.609024107869118e-12,6.757345143004625
90,fom,0.1365000000000001,0.3276799999998862,-2.7015426932545474e-12,6.757345143004575
91,fom,0.1380000000000001,0.32767999999988207,-2.7570538444858053e-12,6.757345143004521
92,fom,0.1395000000000001,0.3276799999998779,-2.7570538444858053e-12,6.75734514300447
93,fom,0.1410000000000001,0.3276799999998738,-2.7940612786399774e-12,6.757345143004421
94,fom,0.1425000000000001,0.3276799999998695,-2.905083581102493e-12,6.757345143004369
95,fom,0.1440000000000001,0.3276799999998651,-2.942091015256665e-12,6.757345143004323
96,fom,0.1455000000000001,0.3276799999998607,-2.942091015256665e-12,6.757345143004272
