,fom,rom,srom,piston
0.002,1.0955374947490733e-07,6.037773315132748e-08,9.8763635640681e-08,-0.20416392854855994
0.004,-1.3357708937850904e-06,-6.087502242853519e-06,-1.3093374494456718e-06,-0.4080367387567475
0.006,-5.403449191743137e-06,2.0724306287387332e-05,-5.401988174310301e-06,-0.6113277273912181
0.008,-1.2641979532589585e-05,-5.733639388736404e-05,-1.255610729292248e-05,-0.8137470208408595
0.01,-2.3311204153826525e-05,-2.2173586322015163e-05,-2.3435198599697846e-05,-1.0150059884489706
0.012,-3.753934141535572e-05,3.2130727034189876e-05,-3.775681324242824e-05,-1.2148176540731208
0.014,-5.5402121367390634e-05,-7.51811495914744e-05,-5.4794042523285746e-05,-1.4128971052858292
0.016,-7.695844390277721e-05,-0.0001734771884831691,-7.790947241789605e-05,-1.6089618996325836
0.018000000000000002,-0.00010226671434568045,-8.437414852364355e-05,-0.0001025503432275247,-1.802732467367912
0.020000000000000004,-0.00013139642153665905,1.1366186397505114e-06,-0.0001301519495807147,-1.9939325100952456
0.022000000000000006,-0.0001644491416742635,-0.00014472593289211624,-0.00016535883341798463,-2.182289394742148
0.024000000000000007,-0.00020161805433137404,-0.0003634990621279046,-0.00020334167505690973,-2.3675345423091385
0.02600000000000001,-0.0002433633236420817,-0.00034807676461989947,-0.00024230728714052111,-2.5494038108378048
0.02800000000000001,-0.0002909082293425541,-0.00014890705867048068,-0.0002896718208240924,-2.7276378720520955
0.030000000000000013,-0.0003475682721876802,-0.0001324038198511217,-0.000349256630341722,-2.9019825811357833
0.032000000000000015,-0.00042210772904983793,-0.0004497196730394941,-0.00042386840396989913,-3.0721893391187924
0.034000000000000016,-0.0005367065681671559,-0.0008113045425565481,-0.0005354789192728244,-3.2380154473556804
0.03600000000000002,-0.0007446877017820082,-0.0009156042367600676,-0.0007428435362149559,-3.3992244535908203
0.03800000000000002,-0.0011674069347307903,-0.0009800226127716365,-0.0011681116450269174,-3.555586489116821
0.04000000000000002,-0.0020658695568768182,-0.0017202238511663992,-0.002067712903302303,-3.7068785965454447
0.04200000000000002,-0.003970061412418886,-0.0039034118779166646,-0.003969590305083931,-3.8528850477236243
0.044000000000000025,-0.007895355831695214,-0.008232545621664302,-0.007892915712300217,-3.9933976513412937
0.04600000000000003,-0.015675893890994254,-0.016031761480572046,-0.015675145281153373,-4.128216049792386
0.04800000000000003,-0.03043151728226106,-0.030351672516213762,-0.030433287819769263,-4.2571480048657255
0.05000000000000003,-0.057145210887277864,-0.056684638033712306,-0.05714627047712669,-4.380009671858428
0.05200000000000003,-0.10324286361998047,-0.10295081074025654,-0.10324175930849507,-4.496625861720954
0.054000000000000034,-0.1789100339099786,-0.1791673361014631,-0.1789089932579519,-4.606830290860034
0.056000000000000036,-0.29663640398267427,-0.2971399239444546,-0.29663687072119305,-4.710465818243251
0.05800000000000004,-0.46922507003197805,-0.46933580004910747,-0.4692261579072957,-4.807384669467205
0.06000000000000004,-0.7055844986823749,-0.7051625002812326,-0.7055851494838565,-4.897448647469754
0.06200000000000004,-1.004733824265928,-1.0043285511493907,-1.0047336099532407,-4.98052932958588
0.06400000000000004,-1.3509761477676863,-1.3510604711838297,-1.3509757994366978,-5.056508250666191
0.06600000000000004,-1.7153464394886182,-1.7156974741247968,-1.7153471932068518,-5.125277071996954
0.06800000000000005,-2.0659845698163553,-2.0660847862946357,-2.0659858831935787,-5.186737735780796
0.07000000000000005,-2.3821786849806963,-2.3819285630989078,-2.3821794035725095,-5.240802604957801
0.07200000000000005,-2.6616243919225573,-2.6613505361738747,-2.661624903852388,-5.287394588167604
0.07400000000000005,-2.915754488032399,-2.915703654960578,-2.915755442652337,-5.326447249674358
0.07600000000000005,-3.1582714724287873,-3.158361950353106,-3.1582726140028257,-5.3579049040977536
0.07800000000000006,-3.3961383016165665,-3.396165110920156,-3.396139284484075,-5.381722695815095
0.08000000000000006,-3.628092095728449,-3.628000019629656,-3.6280929186623494,-5.39786666292113
0.08200000000000006,-3.8490000466318697,-3.8488948200677355,-3.8490007882918613,-5.406313785654512
0.08400000000000006,-4.054844936030777,-4.054815076811991,-4.054845619510277,-5.407052019221779
0.08600000000000006,-4.244605390896312,-4.244622028242924,-4.244605938044992,-5.400080310972096
0.08800000000000006,-4.419135949342813,-4.419119860352836,-4.419136360620489,-5.3854086018982175
0.09000000000000007,-4.57936702024306,-4.579287561247836,-4.579367081266697,-5.363057812461591
0.09200000000000007,-4.725520469376942,-4.72540799123676,-4.725520202456848,-5.333059812761768
0.09400000000000007,-4.857359708643246,-4.857261823108707,-4.857359232100791,-5.295457377092668
0.09600000000000007,-4.974672708403379,-4.974631743925607,-4.974672098797282,-5.2503041229505065
0.09800000000000007,-5.077465656894432,-5.077524087443166,-5.077465028040886,-5.197664434580349
0.10000000000000007,-5.16589220833323,-5.166083123172863,-5.165891626784003,-5.137613371170299
0.10200000000000008,-5.2401433691789565,-5.2404536950135086,-5.240142859977788,-5.070236559824237
0.10400000000000008,-5.300411332101152,-5.300755519052565,-5.300410865532397,-4.9956300734657155
0.10600000000000008,-5.346904522903417,-5.347150334882495,-5.346904059960887,-4.91390029384711
0.10800000000000008,-5.379863641895764,-5.3799077720186235,-5.379863178355218,-4.825163759859362
0.11000000000000008,-5.399562507878298,-5.399403422873816,-5.3995620930246595,-4.7295470013586005
0.11200000000000009,-5.406302098238964,-5.406047430426394,-5.4063017882098245,-4.62718635874661
0.11400000000000009,-5.400406183128339,-5.4002001460215245,-5.40040594208288,-4.518227788562384
