,fom,rom,srom,piston
0.002,6.190599263870852e-07,-3.186773247542472e-07,-6.76780896920901e-08,-0.3438304867529109
0.004,-8.980666194181126e-05,-0.00010187074618987332,-9.254689582350976e-05,-0.6868163210756352
0.006,-0.0002093863795563992,-0.0001820085862613021,-0.0002178720425599029,-1.0281149255073023
0.008,-0.00034713284258658546,-0.0004046541089714153,-0.00036543961026663796,-1.366887867428443
0.01,-0.0005292757794915578,-0.0005668052598806597,-0.0005632412329729664,-1.7023029187507739
0.012,-0.0008526571785915128,-0.0008119204010221243,-0.0009070981077456892,-2.033536100364981
0.014,-0.0015959928975438746,-0.001662346713546653,-0.0016616362441068903,-2.359773706324103
0.016,-0.0034934085954295515,-0.003651357262734499,-0.0035800266137780102,-2.680214302789906
0.018000000000000002,-0.008318202882682195,-0.008324522952502661,-0.00841793660201986,-2.994070696831653
0.020000000000000004,-0.019976621191648707,-0.019937389737528628,-0.02006899305883574,-3.3005718702407245
0.022000000000000006,-0.046266511536074674,-0.046436017058894885,-0.046350945738091974,-3.5989648736104867
0.024000000000000007,-0.10119959287470033,-0.10109258023692047,-0.1012388476647375,-3.8885166760284244
0.02600000000000001,-0.20705012391955815,-0.20602326556660983,-0.20702935084133808,-4.168515965836592
0.02800000000000001,-0.39394102441586343,-0.3930775609451837,-0.39384841992582004,-4.438274898036636
0.030000000000000013,-0.6927147098186329,-0.6938877286367856,-0.6925722303774549,-4.69713078404673
0.032000000000000015,-1.1172200833458439,-1.118950098601153,-1.1170730284318697,-4.944447719659376
0.034000000000000016,-1.6418125140087179,-1.640017464903658,-1.641693367675188,-5.179618147200816
0.03600000000000002,-2.1996064477764787,-2.195465936886136,-2.199661871754841,-5.402064348054493
0.03800000000000002,-2.721491927419662,-2.7217069783152454,-2.7218764533339552,-5.611239861882006
0.04000000000000002,-3.183031660461605,-3.1883842573299765,-3.1836212519996923,-5.806630829055133
0.04200000000000002,-3.6042321059918234,-3.6071482261522463,-3.604907232499641,-5.987757253001079
0.044000000000000025,-4.00991409867139,-4.006746383515083,-4.0106725131429615,-6.154174179359899
0.04600000000000003,-4.403937679960399,-4.400491637163077,-4.404897406185388,-6.305472789057387
0.04800000000000003,-4.776931136365065,-4.778239328842061,-4.778085401016622,-6.441281402608182
0.05000000000000003,-5.122371533681508,-5.125457182819278,-5.1234816335001,-6.561266393181913
0.05200000000000003,-5.439419379255391,-5.440800673990543,-5.440464660723626,-6.665133006189382
0.054000000000000034,-5.728108281413698,-5.730927289110573,-5.729105424646711,-6.752626083375359
0.056000000000000036,-5.98747273020008,-5.9958710479189765,-5.988198565831143,-6.823530689639208
0.05800000000000004,-6.216476850776378,-6.227937054810869,-6.217064274081361,-6.877672641043489
0.06000000000000004,-6.414465280110555,-6.421812184426104,-6.414860499685714,-6.914918932713441
0.06200000000000004,-6.5810134828703655,-6.579832018095783,-6.5810768118702,-6.935178065576154
