timesteps,0.0,0.5,L
0.00015,2.4764213121443965e-11,4.027655900848566e-09,-0.02962445321762081
0.0003,2.8321267996295854e-10,6.094472201171912e-08,-0.059248456543989234
0.00045,1.1428032975083467e-09,1.8866698013563413e-07,-0.08887156009465337
0.0006,3.0397049732967814e-09,3.93473311407723e-07,-0.11849331399883267
0.0007499999999999999,6.441013229255961e-09,6.777684481825181e-07,-0.14811326840624864
0.0008999999999999999,1.1826782316119281e-08,1.0426651829394695e-06,-0.17773097349395167
0.00105,1.968223743051993e-08,1.4888433169782723e-06,-0.20734597947315087
0.0012,3.049457185834217e-08,2.016835364971095e-06,-0.23695783659604538
0.0013499999999999999,4.475166962289764e-08,2.6271215741403516e-06,-0.26656609516265445
0.0014999999999999998,6.29416023729805e-08,3.3201615420873067e-06,-0.29617030552764645
0.0016499999999999998,8.55524284891595e-08,4.096404710791461e-06,-0.32577001810716816
0.0017999999999999997,1.1307210763754914e-07,4.956293847385608e-06,-0.35536478338567157
0.0019499999999999997,1.4598845871054914e-07,5.900266194528904e-06,-0.38495415192274063
0.0021,1.8478913386399625e-07,6.928753846471426e-06,-0.4145376743599174
0.00225,2.2996159845504826e-07,8.042183857571854e-06,-0.4441149014275249
0.0024,2.8199311313298943e-07,9.240978276746921e-06,-0.47368538395149157
0.0025499999999999997,3.41370716700014e-07,1.0525554142999811e-05,-0.5032486728601708
0.0026999999999999997,4.0858120923987387e-07,1.1896323482987598e-05,-0.5328043191911623
0.0028499999999999997,4.841111353477545e-07,1.335369328945002e-05,-0.5623518740981297
0.0029999999999999996,5.684467673887638e-07,1.4898065517417597e-05,-0.5918908888576162
0.0031499999999999996,6.620740887580353e-07,1.6529837064786792e-05,-0.6214209148758607
0.0032999999999999995,7.654787771423759e-07,1.8249399763662946e-05,-0.6509415036956091
0.0034499999999999995,8.791461877735236e-07,2.0057140365442906e-05,-0.6804522070029251
0.0035999999999999995,1.003561336673335e-06,2.1953440529796908e-05,-0.7099525766339988
0.0037499999999999994,1.1392088838926156e-06,2.3938676811969127e-05,-0.7394421645819516
0.0038999999999999994,1.2865731167495265e-06,2.6013220649720503e-05,-0.7689205230036422
0.00405,1.4461379330402153e-06,2.817743834901951e-05,-0.7983872042264659
0.0042,1.6183868242616458e-06,3.043169108046484e-05,-0.8278417607551521
0.00435,1.8038028588130993e-06,3.2776334859824886e-05,-0.8572837452785639
0.0045,2.0028686651874413e-06,3.521172054038216e-05,-0.8867127106764874
0.00465,2.2160664151620765e-06,3.7738193799554363e-05,-0.9161282100264243
0.0048,2.4438778069770086e-06,4.0356095130022564e-05,-0.9455297966103764
0.0049499999999999995,2.686784048490696e-06,4.306575982957151e-05,-0.9749170239216354
0.0050999999999999995,2.9452658403400737e-06,4.586751798978563e-05,-1.0042894456715559
0.0052499999999999995,3.2198033590826857e-06,4.876169448138174e-05,-1.0336466157963389
0.005399999999999999,3.510876240329677e-06,5.17486089492726e-05,-1.0629880884638032
0.005549999999999999,3.818963561864634e-06,5.482857580426745e-05,-1.092313418080157
0.005699999999999999,4.144543826748951e-06,5.8001904212125546e-05,-1.1216221592967643
0.005849999999999999,4.488094946428102e-06,6.12688980758125e-05,-1.1509138670169103
0.005999999999999999,4.85009422381481e-06,6.462985603643048e-05,-1.180188096402557
0.006149999999999999,5.231018336368746e-06,6.808507146169941e-05,-1.2094444028811018
0.006299999999999999,5.631343319144938e-06,7.163483243486736e-05,-1.238682342152127
0.006449999999999999,6.051544547847062e-06,7.527942174319108e-05,-1.2679014701941504
0.006599999999999999,6.492096721862328e-06,7.901911687865207e-05,-1.2971013432713645
0.006749999999999999,6.953473847263827e-06,8.285419002572213e-05,-1.3262815179403764
0.006899999999999999,7.436149219835254e-06,8.678490803853946e-05,-1.3554415510569455
0.007049999999999999,7.9405954080561e-06,9.081153245786614e-05,-1.3845809997827068
0.007199999999999999,8.467284236086315e-06,9.49343194899812e-05,-1.4136994215919034
0.007349999999999999,9.016686766721386e-06,9.915352000081402e-05,-1.4427963742781014
0.007499999999999999,9.589273284347086e-06,0.00010346937950278007,-1.4718714159609074
0.007649999999999999,1.0185513277853947e-05,0.00010788213815621171,-1.5009241050926796
0.007799999999999999,1.0805875423562243e-05,0.00011239203075876919,-1.5299540004652321
0.007949999999999999,1.1450827568118523e-05,0.00011699928674458228,-1.5589606612165379
0.0081,1.2120836711399917e-05,0.00012170413016307247,-1.5879436468374197
0.00825,1.2816368989372345e-05,0.00012650677968625105,-1.6169025171782438
0.008400000000000001,1.3537889656940185e-05,0.00013140744859440918,-1.6458368324556027
0.008550000000000002,1.4285863070787731e-05,0.00013640634477926665,-1.6747461532589931
0.008700000000000003,1.506075267219051e-05,0.00014150367072794504,-1.7036300405574911
0.008850000000000004,1.5863020969809263e-05,0.00014669962352311123,-1.7324880557064166
0.009000000000000005,1.6693129522470878e-05,0.00015199439483281723,-1.761319760453998
0.009150000000000005,1.7551538921944365e-05,0.00015738817091207494,-1.7901247169480263
0.009300000000000006,1.8438708775691254e-05,0.0001628811325925529,-1.8189024877425028
0.009450000000000007,1.935509768959044e-05,0.00016847345527599432,-1.8476526358042855
0.009600000000000008,2.0301163250632228e-05,0.0001741653089357911,-1.8763747245197242
0.009750000000000009,2.1277362009615118e-05,0.0001799568581108307,-1.9050683177012908
0.00990000000000001,2.2284149463809763e-05,0.00018584826189547987,-1.9337329795942049
0.01005000000000001,2.3321980039638916e-05,0.00019183967394015676,-1.962368274883051
0.010200000000000011,2.4391307075305614e-05,0.00019793124244660938,-1.9909737686983873
0.010350000000000012,2.549258280339746e-05,0.00020412311016362235,-2.019549026623354
0.010500000000000013,2.662625833347077e-05,0.00021041541438215173,-2.0480936147002655
