,0,1
0,3.6985240883214014e-16,7.341968272889827e-16
1,1.623163346418695e-16,2.6630919946548957e-16
2,2.0035665956111065e-16,3.768003297037061e-16
3,4.039778303658609e-16,9.30553455146467e-16
4,2.8821936790687813e-16,6.380932837631065e-16
5,9.163371712666198e-17,5.045067461218094e-20
6,4.002492155713333e-16,7.225295602360311e-16
7,3.752959679425616e-16,8.814958909371736e-16
8,4.435443613677477e-17,4.259696010982281e-16
9,3.297227171470647e-16,3.881051724729298e-16
10,4.2437034623862696e-16,9.173301338422141e-16
11,1.7507762927525774e-16,6.855231307469217e-16
12,2.381226008505519e-16,7.09387371824467e-18
13,5.479436094895496e-16,7.075336854454726e-16
14,2.740004013107798e-16,7.694716965527781e-16
15,1.0041643825098872e-16,3.8100290417752435e-16
16,6.727351577276567e-16,3.8560426960790212e-16
17,6.771861098938643e-16,7.835428362766275e-16
18,6.786897213826355e-17,6.854229716040727e-16
19,6.555132591107639e-16,1.5481821009143336e-17
20,9.776018437173822e-16,7.593112902270498e-16
21,2.95701915999929e-16,7.273319471779568e-16
22,4.450258846799838e-16,2.653968239686492e-16
23,7.038927676775269e-16,3.9664754800994803e-16
24,6.828911375729891e-16,7.634084636652162e-16
