,0,1
0,2.2777148483512996e-18,6.591290496232152e-18
1,2.1403905924672468e-18,7.468134733018593e-18
2,2.426129109103711e-18,7.977428086362902e-18
3,2.8592189156499273e-18,8.407318968998282e-18
4,3.4564515393418984e-18,8.174774550110854e-18
5,4.007403066265525e-18,7.465746441767057e-18
6,3.959268771003947e-18,7.106221230726494e-18
7,4.112230476156306e-18,6.344784419505553e-18
8,4.834384762167224e-18,6.756886523624346e-18
9,5.182348577357989e-18,7.900415957589272e-18
10,6.038490458195127e-18,8.09303881652215e-18
11,5.681768258368203e-18,9.241404171739085e-18
12,4.89166216328172e-18,9.201270077975426e-18
13,4.2187947507008075e-18,8.38998084760442e-18
14,4.572701055429672e-18,8.836361924553505e-18
15,5.1155641589828435e-18,8.169449955033547e-18
16,5.83275535696213e-18,9.364623113854606e-18
17,5.6561332587902515e-18,1.041089252394463e-17
18,6.527234569586805e-18,1.2461119463274522e-17
19,5.277471709476265e-18,1.3862684734505122e-17
20,5.859763209969818e-18,1.5320976923265864e-17
21,6.430927615655857e-18,1.4886950671528807e-17
22,6.497423385362312e-18,1.2623036571186725e-17
23,7.41672995600753e-18,1.1626008675685301e-17
24,6.596276015611364e-18,1.1185866030483636e-17
