,0,1
0,7.469800453519458e-16,6.962198650846032e-16
1,7.457460459059739e-16,6.997086444131747e-16
2,7.426139661665706e-16,6.900698068435901e-16
3,7.433885064209561e-16,6.944673989613264e-16
4,7.582111751051657e-16,7.041167737186966e-16
5,7.541812707703884e-16,6.848855010133793e-16
6,7.515313097085046e-16,7.016719304622334e-16
7,7.511011083564453e-16,6.968783904208464e-16
8,7.516521294696811e-16,7.039825916121919e-16
9,7.466322724646075e-16,6.737148031548127e-16
10,7.494283927288266e-16,6.872576687257953e-16
11,7.418052378427397e-16,7.025453729308849e-16
12,7.579271576155575e-16,6.860885836016743e-16
13,7.367284136278109e-16,6.944144888794717e-16
14,7.487574905331102e-16,7.061656146321912e-16
15,7.370164185177044e-16,6.978724341076687e-16
16,7.540512761910351e-16,6.71212714847599e-16
17,7.486407250445757e-16,7.036291455109269e-16
18,7.31540124044713e-16,7.129193789909106e-16
19,7.475911467405433e-16,7.02035897801518e-16
20,7.549172023137445e-16,6.715426692984423e-16
21,7.415286097089878e-16,6.920239851485382e-16
22,7.4333888242737635e-16,6.826311787098675e-16
23,7.495943822081189e-16,6.987812124674125e-16
24,7.409912913545079e-16,6.901939958380582e-16
