,a0,alpha,delta,gamma,omega,forcing,eta,wiggles
0,23.997070256709144,1e-06,0.05880591789332838,1.4,11.48279295200153,0.028139109161990413,0.9909090909090877,no
1,24.979154279741483,1e-06,0.07191008249730067,1.4,16.352556430881524,0.04707580043813337,0.974025974025972,no
2,25.948841028609124,1e-06,0.15067394263767486,1.4,10.0636967129272,0.0584356295363927,0.9542,no
3,18.62589881470279,1e-06,0.06468640649784115,1.4,24.76867707511201,0.08601983343911022,0.9019607843137255,no
4,18.194412019042876,1e-06,0.07167073023172567,1.4,23.824609908477782,0.09384898988983292,0.9056603773584906,no
5,11.276633692900955,1e-06,0.059411551767793405,1.4,21.22178264268752,0.11180810447665954,0.847457627118644,no
6,29.70497054112896,1e-06,0.18859068539170648,1.4,21.725019520564537,0.13792763456400836,0.9310344827586207,no
7,23.51978449725968,1e-06,0.133729628867221,1.4,24.77568708785435,0.1408704845733256,0.8823529411764706,no
8,17.58931039876579,1e-06,0.09868253861699945,1.4,28.585041829679604,0.16037265988687285,0.8181818181818182,no
9,29.399453798050633,1e-06,0.23299474931132175,1.4,22.324578872064393,0.17692538417575518,0.8947368421052632,no
10,17.907189333349436,1e-06,0.13645920175037468,1.4,27.112995070513282,0.20661074139053942,0.782608695652174,no
11,13.337118972927387,1e-06,0.15532868654231236,1.4,18.90980793960359,0.22023014385552236,0.7878787878787878,no
12,12.387376064537595,1e-06,0.10296052601888002,1.4,28.686111517199993,0.2384312154454169,0.5909090909090909,no
13,13.027803192236131,1e-06,0.21052136425377388,1.4,15.98510739628648,0.25830959887502775,0.784810126582274,no
14,24.210181499181203,1e-06,0.25081407343098244,1.4,25.95198604750043,0.2688589234416828,0.8125,no
15,13.978657557574154,1e-06,0.2883575294638283,1.4,13.713449529692367,0.28288670857856174,0.8260869565217343,no
16,23.37120756607534,1e-06,0.27248024919621433,1.4,26.860504428363846,0.3131612656078794,0.7659574468085106,no
17,19.704374591416844,1e-06,0.2218023262315036,1.4,28.714343215306638,0.3232230534299261,0.6976744186046512,no
18,10.260251095183435,1e-06,0.13637291616571118,1.4,26.402336775305876,0.3509235423417569,0.25,yes
19,10.482225375224578,1e-06,0.23096406926045465,1.4,16.22714585250102,0.35754694298358836,0.6025641025640983,no
20,13.459894711178876,1e-06,0.21335202902935962,1.4,23.347121525756982,0.37007390149777925,0.5370370370370371,no
21,15.760478871979815,1e-06,0.2972246553172576,1.4,21.30738808853257,0.40183303640504026,0.6101694915254238,no
22,10.615910511785122,1e-06,0.21259574292853262,1.4,20.677177010998882,0.4140841054978799,0.26229508196721313,yes
23,13.270005075396973,1e-06,0.26789671083878885,1.4,21.448929046578975,0.43301396720989366,0.4827586206896552,yes
24,12.451964403951774,1e-06,0.29513369204367484,1.4,18.817963664133412,0.4460191912512091,0.5074626865671642,yes
25,13.307221263882417,1e-06,0.2878162472890683,1.4,21.93363362363336,0.47439326316016256,0.35087719298245607,yes
26,11.786540898052193,1e-06,0.2067314121923719,1.4,27.510288248408695,0.4825199173026751,0.28888888888888886,yes
27,15.75311487551437,1e-06,0.28846332310923334,1.4,27.149720799292382,0.49715238828257646,0.34042553191489355,yes
28,13.139681875039846,1e-06,0.290882366453527,1.4,23.201885793622182,0.5136364418878158,0.31481481481481477,yes
29,12.813776015709614,1e-06,0.2963878563204321,1.4,22.92453449610514,0.5302538165263944,0.3272727272727272,yes
30,10.279677105884296,1e-06,0.20126993292308604,1.4,28.251842123230077,0.5531541808683087,0.2727272727272727,yes
31,11.97610072778318,1e-06,0.2679733078040683,1.4,25.696147529671904,0.5749685818334062,0.24489795918367346,yes
32,11.215341021191422,1e-06,0.2520774861486195,1.4,26.051861416924222,0.5855450782158061,0.24489795918367346,yes
33,10.080212317208158,1e-06,0.2341352011122912,1.4,26.27102757957141,0.6102026556790909,0.25,yes
34,12.905341268292725,1e-06,0.2959358333860112,1.4,27.220886967701276,0.6242094418754403,0.23913043478260865,yes
35,13.307083626328422,1e-06,0.29599568110460434,1.4,29.0476492653191,0.6461204400763256,0.25581395348837205,yes
36,10.93530414999336,1e-06,0.26165855840876595,1.4,27.65792993146685,0.66179540826422,0.21739130434782608,yes
37,10.022133287759125,1e-06,0.2600781565344273,1.4,26.127217197894787,0.6780111867502812,0.20833333333333334,yes
38,11.682199381681444,1e-06,0.2880823777141423,1.4,28.273500931667005,0.6972229379571937,0.22727272727272727,yes
39,10.522956235726069,1e-06,0.25207839508420543,1.4,29.61465092550634,0.7094217165833844,0.21428571428571427,yes
40,11.41311704988647,1e-06,0.29442856555732483,1.4,28.566185724685305,0.7369328685231427,0.20454545454545456,yes
41,10.451631187096918,1e-06,0.27924779646800046,1.4,28.036183718580727,0.7490737459671424,0.2222222222222222,yes
42,10.33078595574138,1e-06,0.2916588822254031,1.4,27.237849435738376,0.7689793162577605,0.1956521739130435,yes
43,10.153386365841515,1e-06,0.28381910698236834,1.4,27.818383629370217,0.7776113815527416,0.2,yes
44,10.447255770764368,1e-06,0.29313225949042326,1.4,28.478524553639193,0.7990590479006698,0.20454545454545456,yes
45,10.344385886275314,1e-06,0.29456953145020903,1.4,28.597686100830693,0.8143554472826294,0.20454545454545456,yes
46,10.004532153643012,1e-06,0.2946638073142576,1.4,28.55424221531361,0.841009014406936,0.20454545454545456,yes
47,10.020816412552202,1e-06,0.29543258897007857,1.4,28.84783076551016,0.8504885209302754,0.20454545454545456,yes
