,0,1,2,3,4
35,4.780424738342434e-16,4.789757435509413e-16,6.86573021231692e-16,6.249294533931664e-16,5.026014418956583e-16
36,4.745255906776218e-16,4.879622635035576e-16,6.863952347856038e-16,6.371024241469494e-16,4.928557971032187e-16
37,4.735839215472628e-16,4.900179928602432e-16,6.782628338423749e-16,6.306399831570652e-16,5.002938414602928e-16
38,4.7689737307351085e-16,4.84397908005753e-16,6.744161245045632e-16,6.297975992387736e-16,5.14411561091319e-16
39,4.826212667753555e-16,4.731782074399387e-16,6.859859193009169e-16,6.214222501052799e-16,5.106214312755803e-16
40,4.74052115789595e-16,4.798707030443279e-16,6.7195780956828145e-16,6.349101074934352e-16,5.040129991445538e-16
41,4.805196407109509e-16,4.815448763553515e-16,6.667445487810593e-16,6.337276929152421e-16,4.938501927901676e-16
42,4.7160452662869e-16,4.783796388891038e-16,6.855594413742793e-16,6.414299605484581e-16,5.01243100381927e-16
43,4.726761367728934e-16,4.884700077987298e-16,6.944866804595979e-16,6.308710657078994e-16,4.977142389783558e-16
44,4.714386608917266e-16,4.978553855795203e-16,6.793222851420502e-16,6.246808137413794e-16,5.160618272355986e-16
45,4.704455298419422e-16,4.875338211039306e-16,6.728453732681194e-16,6.40450214185489e-16,5.049704999225926e-16
46,4.718858894651116e-16,4.844212473801556e-16,6.755466452684211e-16,6.279783777923667e-16,5.160448770387728e-16
47,4.671887001261749e-16,4.728374430520035e-16,6.759077669549544e-16,6.256634603706804e-16,5.060037226206409e-16
48,4.786796033594734e-16,4.928202249176355e-16,6.702721440072764e-16,6.341351127581134e-16,5.154516485870404e-16
49,4.652571564134241e-16,4.916914894367868e-16,6.661949645432752e-16,6.26228669965759e-16,5.109179817183477e-16
50,4.740820302645405e-16,4.846807314652073e-16,6.876094825085453e-16,6.310968767511301e-16,5.070907127863172e-16
51,4.684944226518208e-16,4.840535977321941e-16,6.759048178009593e-16,6.230053297530134e-16,5.045571938261652e-16
52,4.723617917012231e-16,4.854962395310009e-16,6.757246286971012e-16,6.401526349453265e-16,5.091447867116642e-16
53,4.777366777379149e-16,4.901848555764655e-16,6.792833957297897e-16,6.178314026521577e-16,5.088033216319135e-16
54,4.713067397815061e-16,4.923527230937925e-16,6.722849428322042e-16,6.308096896050971e-16,5.104387392204866e-16
55,4.70743014618851e-16,4.808478304782954e-16,6.770322317393901e-16,6.378984748904318e-16,5.038382945116071e-16
56,4.802439122961624e-16,4.79191060621852e-16,6.817663901989184e-16,6.381894023519604e-16,4.948885700499216e-16
57,4.729370618695192e-16,4.953294905019677e-16,6.696543081320855e-16,6.368804150278446e-16,5.080482564481191e-16
58,4.647496554052779e-16,4.851361142450543e-16,6.700609013613936e-16,6.310331021598809e-16,5.119675791760035e-16
59,4.681693232050586e-16,4.873623878980555e-16,6.734992225773141e-16,6.349822191851909e-16,5.119340676614726e-16
60,4.722397393813196e-16,4.826207684476625e-16,6.592961702437168e-16,6.423743713381773e-16,5.014401776660237e-16
