sample,linearity
online-13,0.8440366972477064
online-12,0.7745098039215687
online-10,0.6881720430107529
online-11,0.7619047619047619
online-15,0.7499999999999998
online-14,0.7551020408163264
online-16,0.663716814159292
online-17,0.8715596330275229
online-6,13.799999999999997
online-7,0.7692307692307695
online-5,0.7777777777777779
online-4,0.6718749999999999
online-0,0.8240740740740738
offline-8,0.7600000000000001
offline-9,0.8541666666666666
online-1,0.8181818181818181
online-3,0.7010309278350514
offline-18,0.7156862745098038
offline-19,0.7826086956521737
online-2,0.8846153846153846
offline-14,0.8202247191011235
offline-7,0.7931034482758619
offline-6,0.7272727272727273
offline-15,0.889908256880734
offline-17,0.8166666666666668
offline-4,0.8403361344537816
offline-5,0.6732673267326731
offline-16,0.7450980392156863
online-9,0.8362068965517243
offline-12,0.7222222222222225
offline-1,0.7684210526315788
offline-0,0.7474747474747473
offline-13,0.8265306122448979
online-8,0.6826923076923076
offline-11,0.8131868131868131
offline-2,0.6400000000000001
offline-3,0.7358490566037736
offline-10,0.7232142857142857
online-19,0.889908256880734
online-18,0.8709677419354839
