timesteps,0.0,0.5,L
0.002,8.964651435121711e-08,-6.304067009883124e-07,-0.149074220081531
0.004,-8.056108179612089e-07,-2.340957455198566e-05,-0.2979945482226754
0.006,-3.3654433847181953e-06,-6.663738547663867e-05,-0.44660725134838536
0.008,-7.938382600322967e-06,-0.00015779589859538144,-0.5947589139503378
0.01,-1.4688547957725985e-05,-0.0003915217116675669,-0.7422965964604558
0.012,-2.3698810797054596e-05,-0.001033990527254641,-0.8890679931331136
0.014,-3.50319557568344e-05,-0.002743651165000421,-1.0349215892730388
0.016,-4.8789491212956836e-05,-0.006951720253264023,-1.1797068176465977
0.018000000000000002,-6.52394262332925e-05,-0.016376002924640302,-1.323274213915
0.020000000000000004,-8.518592800109526e-05,-0.035490473477733486,-1.465475570928967
0.022000000000000006,-0.00011103259803732057,-0.07058787464834218,-1.6061640917255762
0.024000000000000007,-0.0001496554691687838,-0.12898776980132845,-1.7451945410693512
0.02600000000000001,-0.0002196061527963269,-0.21713626249524035,-1.8824233953811529
0.02800000000000001,-0.00036777484101768146,-0.33792401481072193,-2.017708990900092
0.030000000000000013,-0.000704789709985955,-0.4883734737325416,-2.150911669925522
0.032000000000000015,-0.0014737252653392503,-0.6593413490277323,-2.281893924988143
0.034000000000000016,-0.0031711094689652057,-0.8382242147685067,-2.4105205408013837
0.03600000000000002,-0.006738248418936166,-1.0137054275098503,-2.536658733846514
0.03800000000000002,-0.013827644209596568,-1.1797759432188533,-2.6601782894474133
0.04000000000000002,-0.027116522231389065,-1.3365563109639815,-2.7809516961934704
0.04200000000000002,-0.05058379967326846,-1.4878457858411447,-2.8988542775718584
0.044000000000000025,-0.08959445231489979,-1.6375794327752133,-3.0137643206732876
0.04600000000000003,-0.1505694561559053,-1.787587370466706,-3.125563201838387
0.04800000000000003,-0.24001085870713587,-1.937502727196244,-3.234135509114995
0.05000000000000003,-0.36278548961581614,-2.0859940950576625,-3.3393691613999463
0.05200000000000003,-0.5199395512989877,-2.231963296695634,-3.441155524142371
0.054000000000000034,-0.7068936234307178,-2.37496069580914,-3.5393895214890465
0.056000000000000036,-0.9133040308570682,-2.5149510458460393,-3.6339697447560564
0.05800000000000004,-1.1255133701109914,-2.651943397283234,-3.7247985571147524
0.06000000000000004,-1.3310311269816961,-2.7858183393056577,-3.811782194383978
0.06200000000000004,-1.5227759724305283,-2.9163565512482448,-3.8948308618244747
0.06400000000000004,-1.7005641784008656,-3.0433238681242902,-3.9738588268355777
0.06600000000000004,-1.8691066132311533,-3.16651484968233,-4.048784507458487
0.06800000000000005,-2.0341022783096796,-3.285749967181984,-4.119530556594753
0.07000000000000005,-2.1989692866636656,-3.4008600674991114,-4.1860239418530565
0.07200000000000005,-2.363850523473062,-3.5116791288502216,-4.24819602094182
0.07400000000000005,-2.5267623728141024,-3.618045451537896,-4.305982612529869
0.07600000000000005,-2.6854865514283004,-3.7198046111712033,-4.35932406250193
0.07800000000000006,-2.838787538946171,-3.8168107860595684,-4.40816530554064
0.08000000000000006,-2.9864792634744903,-3.9089267811571373,-4.452455921971432
0.08200000000000006,-3.1288121254979147,-3.996023855850785,-4.49215018981166
0.08400000000000006,-3.265905656714816,-4.077981783476894,-4.527207131970198
0.08600000000000006,-3.3975845329969627,-4.154689059624439,-4.55759055854882
0.08800000000000006,-3.523517871893647,-4.226043121670904,-4.583269104201662
0.09000000000000007,-3.6433977202332106,-4.291950534566779,-4.604216260514223
0.09200000000000007,-3.7570070169401584,-4.352327145179819,-4.620410403368473
0.09400000000000007,-3.86419287269735,-4.40709820513297,-4.631834815265801
0.09600000000000007,-3.964822551249313,-4.456198450234584,-4.638477702584792
0.09800000000000007,-4.058766021759881,-4.4995721248005385,-4.6403322077559785
0.10000000000000007,-4.145901238356299,-4.537172955017961,-4.637396416341045
0.10200000000000008,-4.226122969228147,-4.568964096170894,-4.629673359009125
0.10400000000000008,-4.299345671479152,-4.594918085052609,-4.6171710084081905
0.10600000000000008,-4.365501990471555,-4.615016811824249,-4.59990227093475
0.10800000000000008,-4.424540909728295,-4.629251497246003,-4.577884973410346
0.11000000000000008,-4.476427042263753,-4.637622645410357,-4.551141844678615
0.11200000000000009,-4.521140517981249,-4.640139951188581,-4.519700492141899
0.11400000000000009,-4.558676772087421,-4.6368221652649595,-4.483593373261643
0.11600000000000009,-4.589046098215627,-4.627696936473259,-4.44285776205198
0.11800000000000009,-4.61227312208602,-4.612800649309005,-4.3975357106011215
0.12000000000000009,-4.628396312041971,-4.592178260265969,-4.347674005660231
0.1220000000000001,-4.637467533103386,-4.565883124917616,-4.293324120344655
0.1240000000000001,-4.639551604625268,-4.533976806846555,-4.234542160997305
0.12600000000000008,-4.6347258291488735,-4.496528866288719,-4.171388809269101
0.12800000000000009,-4.623079484028988,-4.453616632350009,-4.103929259476238
0.1300000000000001,-4.604713287177447,-4.4053249634246665,-4.032233151298933
0.1320000000000001,-4.579738855118248,-4.351745997721155,-3.9563744978911766
0.1340000000000001,-4.548278164989476,-4.292978893440902,-3.8764316094756373
0.1360000000000001,-4.510463020104491,-4.229129557904248,-3.7924870125026438
0.1380000000000001,-4.46643451148206,-4.160310365906975,-3.704627364456684
