,fom,rom,srom,piston
0.002,-3.29533060156023e-05,-3.307357466373049e-05,-3.3081474433596e-05,-0.25180295956577714
0.004,-0.00013419256481593617,-0.00013416250943029779,-0.00013416419909091453,-0.5030050667728874
0.006,-0.00030815231005620387,-0.0003079305068834808,-0.0003079397023600251,-0.7530069030168577
0.008,-0.0006598110375705351,-0.0006601740545072098,-0.0006601730129818545,-1.0012119137804523
0.01,-0.001533136199428008,-0.001532667050590882,-0.0015326710554238539,-1.2470278321323733
0.012,-0.0038678106857490597,-0.0038676638178691256,-0.003867684346728121,-1.4898680919949279
0.014,-0.009912796125850668,-0.009913128624195394,-0.009913118854570026,-1.72915322780833
0.016,-0.02436489115600862,-0.02436541111814269,-0.024365393953196996,-1.964312257251721
0.018000000000000002,-0.0557006879822799,-0.05570105553599296,-0.055701035260420154,-2.194784043721506
0.020000000000000004,-0.11691903645465845,-0.11691888612004839,-0.11691886988816809,-2.420018635315812
0.022000000000000006,-0.2243508482271017,-0.2243506790473124,-0.2243506917761908,-2.63947857713002
0.024000000000000007,-0.3931795948275597,-0.3931799671966107,-0.3931799835913396,-2.852640193731948
0.02600000000000001,-0.6297920887166784,-0.6297920921193462,-0.6297921142163716,-3.0589948387564525
0.02800000000000001,-0.9244630689138981,-0.924462497348781,-0.9244625129172362,-3.258050108637658
0.030000000000000013,-1.2511053354552806,-1.2511051049831905,-1.2511051207769126,-3.449331017582615
0.032000000000000015,-1.5781570635265052,-1.5781567741165696,-1.5781567766597155,-3.6323811309826572
0.034000000000000016,-1.8845266033846795,-1.8845259225226074,-1.884525896894614,-3.8067636545579115
0.03600000000000002,-2.1672847011608978,-2.1672843114182325,-2.1672842964884955,-3.972062476636045
0.03800000000000002,-2.435348218580894,-2.4353480505489364,-2.4353480296604877,-4.127883161078166
0.04000000000000002,-2.6972543726404266,-2.697253784501966,-2.6972537820067215,-4.273853888482547
0.04200000000000002,-2.9546176135047704,-2.9546170533389664,-2.9546170580115088,-4.409626343420289
0.044000000000000025,-3.2040971862057828,-3.2040965724520434,-3.204096606562932,-4.5348765455857825
0.04600000000000003,-3.4421975155607893,-3.4421968614837604,-3.4421969004218265,-4.649305622878689
0.04800000000000003,-3.667349831927189,-3.6673492596217,-3.667349267050616,-4.752640524572713
0.05000000000000003,-3.879074415183942,-3.879073886442259,-3.879073868329556,-4.844634672869389
0.05200000000000003,-4.076826053277382,-4.076825565918934,-4.076825587774311,-4.925068551282154
0.054000000000000034,-4.259796508754463,-4.2597962156321865,-4.25979616539079,-4.993750228446718
0.056000000000000036,-4.427178154000181,-4.427178085726579,-4.427178054762213,-5.050515816107783
0.05800000000000004,-4.578318812910245,-4.578319110205612,-4.578319100759188,-5.0952298601892805
0.06000000000000004,-4.712676491742468,-4.7126772391856235,-4.712677203675318,-5.127785664014978
