,fom,rom,srom,piston
0.002,2.1064108230238865e-08,6.737883544115227e-09,-3.3816547582420848e-09,-0.43553225366426407
0.004,-8.055054479864322e-06,-8.079525739112947e-06,-8.090625848841956e-06,-0.8697003819590828
0.006,-2.9701880538820483e-05,-2.9750195151081955e-05,-2.9755007394324074e-05,-1.3011445320757256
0.008,-6.777149553586293e-05,-6.782803534217908e-05,-6.783500644130016e-05,-1.7285133829450048
0.01,-0.0001236936610428559,-0.0001237562726087344,-0.00012378195150939927,-2.150468377693832
0.012,-0.00019827456892456481,-0.0001983640405280357,-0.0001983834113468278,-2.565687916123203
0.014,-0.00029209702315274785,-0.00029219336148164,-0.0002921950194856585,-2.972871494076405
0.016,-0.00040570460123492367,-0.0004058144066997563,-0.0004058206066728175,-3.370743776732547
0.018000000000000002,-0.0005397026060955794,-0.00053983695830594,-0.0005398275473299202,-3.7580585930675126
0.020000000000000004,-0.0006948788794346018,-0.0006949990099018205,-0.000694990728436392,-4.133602838971353
0.022000000000000006,-0.0008725004024706067,-0.0008726132095832658,-0.0008726179647746483,-4.496200276797166
0.024000000000000007,-0.0010751610162397496,-0.001075258289182171,-0.0010752776884830767,-4.844715219440994
0.02600000000000001,-0.0013091528765135547,-0.0013092376539174673,-0.0013092745034677818,-5.178056087413828
0.02800000000000001,-0.0015907842010378982,-0.0015908775807033512,-0.0015908994346002592,-5.495178827764685
0.030000000000000013,-0.001962317540948738,-0.001962398420463648,-0.0019624348778664877,-5.795090184146396
0.032000000000000015,-0.0025299563427680738,-0.0025300310438729915,-0.002530056857828109,-6.076850807781933
0.034000000000000016,-0.0035492794765038605,-0.0035493355666420126,-0.0035493502803862404,-6.339578199587505
0.03600000000000002,-0.005606567644524418,-0.005606602874589591,-0.005606634528364836,-6.582449474237392
0.03800000000000002,-0.009982458257041594,-0.009982467003070823,-0.009982493005965303,-6.804703937513243
0.04000000000000002,-0.0193427991681541,-0.019342793842969365,-0.019342795823031275,-7.005645468865357
0.04200000000000002,-0.03898466014371242,-0.03898462393690614,-0.03898462108192233,-7.184644701723536
0.044000000000000025,-0.07896481742783804,-0.07896473417955213,-0.07896472634568671,-7.341140994728605
0.04600000000000003,-0.1574811485720181,-0.1574810453523654,-0.15748103390976345,-7.474644187710517
0.04800000000000003,-0.3055553385503153,-0.30555522569050103,-0.3055552349144574,-7.5847361369131665
0.05000000000000003,-0.5714433990450097,-0.5714433253324812,-0.5714433146938007,-7.671072024657451
0.05200000000000003,-1.0185134274583525,-1.0185133673908773,-1.0185133612429582,-7.733381439340605
0.054000000000000034,-1.7028161970137063,-1.7028161026116426,-1.702816110882905,-7.771469222389161
0.056000000000000036,-2.6198101094084074,-2.6198099097789296,-2.61980992264025,-7.78521607951277
0.05800000000000004,-3.6532511574402147,-3.653250754166273,-3.653250779628143,-7.7745789543444355
0.06000000000000004,-4.612416632671082,-4.612416041717027,-4.612416079345357,-7.739591163296842
0.06200000000000004,-5.3639741567140105,-5.363973428307184,-5.363973448300292,-7.680362291212413
0.06400000000000004,-5.910003857575078,-5.910003081305977,-5.910003073359093,-7.597077848133952
0.06600000000000004,-6.331833851047615,-6.3318330583298845,-6.331833099289087,-7.4899986882708225
0.06800000000000005,-6.696140500070491,-6.696139758709517,-6.696139794885125,-7.35946019298063
0.07000000000000005,-7.01947634868971,-7.019475734363088,-7.019475737557941,-7.205871220325249
0.07200000000000005,-7.289855372542124,-7.289854921534917,-7.289854914183476,-7.029712824491388
0.07400000000000005,-7.497249576316214,-7.4972493591010485,-7.497249331957232,-6.831536749086507
0.07600000000000005,-7.643204694101734,-7.643204771085838,-7.64320472771164,-6.611963699029264
0.07800000000000006,-7.734527390280147,-7.73452775736332,-7.734527728578328,-6.371681396447051
0.08000000000000006,-7.776745950494016,-7.77674649785035,-7.776746534582365,-6.1114424266697265
0.08200000000000006,-7.773112828451417,-7.773113398642505,-7.773113472850697,-5.832061881066095
0.08400000000000006,-7.726174587584098,-7.726174945024869,-7.726175057570809,-5.53441480410598
0.08600000000000006,-7.638730698381796,-7.6387307275065,-7.6387308856617375,-5.219433452643876
0.08800000000000006,-7.5138025827638515,-7.51380227700718,-7.51380246286846,-4.888104376008388
0.09000000000000007,-7.35438492234091,-7.354384383353683,-7.354384569703319,-4.5414653260428866
0.09200000000000007,-7.163366509644837,-7.163365881008085,-7.163366044784646,-4.180602006775326
0.09400000000000007,-6.943559450105807,-6.943558857526842,-6.943558967452884,-3.8066446738976434
0.09600000000000007,-6.697722927668666,-6.697722417715369,-6.697722462526415,-3.4207645947054037
0.09800000000000007,-6.428559485446834,-6.428559049850652,-6.428559034658437,-3.0241703795854904
0.10000000000000007,-6.138702478347376,-6.138702076579457,-6.138702031513211,-2.618104196541953
0.10200000000000008,-5.830705458166073,-5.830705090875875,-5.830705012125667,-2.2038378806164345
0.10400000000000008,-5.50703339287683,-5.507033063689004,-5.507032950369238,-1.7826689503888307
0.10600000000000008,-5.170054094467404,-5.170053800300018,-5.170053665322653,-1.355916544034843
0.10800000000000008,-4.822029803741345,-4.8220295767813734,-4.822029406456709,-0.9249172876690638
0.11000000000000008,-4.465109448024902,-4.465109254324303,-4.465109075039769,-0.49102110891427303
0.11200000000000009,-4.101321856516646,-4.101321697496842,-4.101321514290842,-0.05558700880926513
0.11400000000000009,-3.732570043163266,-3.73256993543087,-3.7325697131918827,0.3800211947020742
0.11600000000000009,-3.3606266855390428,-3.360626599416204,-3.360626335134367,0.8144391383686589
0.11800000000000009,-2.9871309618884685,-2.9871308852045733,-2.987130618831874,1.2463061869380472
0.12000000000000009,-2.613586866435478,-2.6135867979902225,-2.613586534523375,1.6742696947858597
0.1220000000000001,-2.241363033810632,-2.2413629339201893,-2.2413627237986096,2.096989242520988
0.1240000000000001,-1.871694021021624,-1.8716939259745338,-1.8716937223892174,2.5131408352971536
0.12600000000000008,-1.505682944215712,-1.50568281179607,-1.5056826682737636,2.921421049681353
0.12800000000000009,-1.1443053417991758,-1.1443052049268894,-1.1443050714118495,3.3205511160908316
0.1300000000000001,-0.7884141201334885,-0.7884139750090168,-0.7884138501197372,3.7092809240120035
0.1320000000000001,-0.43874542403816713,-0.4387452426995964,-0.4387451332302762,4.086392937456671
0.1340000000000001,-0.09592526160808305,-0.0959251014053558,-0.09592497577234975,4.4507060083919505
0.1360000000000001,0.23952329473843112,0.23952346028095084,0.23952357890058712,4.801079076199907
0.1380000000000001,0.5671725087461431,0.5671726807102371,0.5671728038570536,5.1364147415799
0.1400000000000001,0.886682151892887,0.8866823254574692,0.8866824287704801,5.455662703699819
0.1420000000000001,1.1977916013674828,1.1977917745392892,1.197791832771728,5.757823049830771
0.1440000000000001,1.5003120018307423,1.5003121853921697,1.5003122170239709,6.041949387161801
0.1460000000000001,1.7941186084807415,1.7941188048030483,1.7941187789051516,6.3071518069855115
0.1480000000000001,2.0791434084239597,2.0791435787872277,2.079143560315008,6.552599671970486
0.1500000000000001,2.3553680970328874,2.3553682486714034,2.3553682098863566,6.77752421779057
0.1520000000000001,2.6228174665270094,2.62281759817043,2.622817562534844,6.981220960962406
0.1540000000000001,2.881553246011577,2.8815533658198302,2.8815532953958343,7.1630519053497705
0.1560000000000001,3.1316684160790333,3.131668501310821,3.1316684539413644,7.322447540423633
0.1580000000000001,3.373282007095632,3.373282059030136,3.3732820025847845,7.4589086250192835
0.16000000000000011,3.606534378571662,3.6065344072977368,3.6065343532476595,7.572007751003621
0.16200000000000012,3.8315829675201702,3.831582989451233,3.8315829513995827,7.661390681955067
0.16400000000000012,4.048598486315859,4.048598486350039,4.048598474842929,7.7267774626632235
0.16600000000000012,4.257761545072888,4.257761546725665,4.2577615341326265,7.767963295973251
0.16800000000000012,4.4592596697340685,4.4592596826348885,4.459259688613987,7.784819184228581
0.17000000000000012,4.653284684652413,4.653284730049601,4.653284739127585,7.777292333302945
0.17200000000000013,4.840030427203483,4.840030533411641,4.840030526175856,7.745406317956226
0.17400000000000013,5.019690761654199,5.0196908872140655,5.019690917943465,7.689261007996224
0.17600000000000013,5.192457859916746,5.192458032997121,5.19245808563115,7.60903225547764
0.17800000000000013,5.358520717738607,5.358520941756169,5.358520996556372,7.504971343917939
0.18000000000000013,5.518063876154577,5.518064154161318,5.518064216279569,7.3774042012552625
0.18200000000000013,5.671266319507824,5.671266631561994,5.6712666767756055,7.226730379013413
0.18400000000000014,5.818300522913198,5.8183008611671125,5.818300900049425,7.053421800871308
0.18600000000000014,5.9593316235845855,5.959331981873472,5.959332033048515,6.858021284556457
0.18800000000000014,6.094516691892922,6.094517037461309,6.0945170924802445,6.641140841692047
0.19000000000000014,6.22400407928926,6.2240043962646485,6.2240044979846925,6.403459760922636
0.19200000000000014,6.347932821252561,6.347933116955881,6.347933206978656,6.145722480322316
0.19400000000000014,6.466432074142898,6.466432354993579,6.466432440810708,5.868736255749107
0.19600000000000015,6.579620565196785,6.579620830370006,6.579620894939118,5.573368632448527
0.19800000000000015,6.687606034822182,6.687606298160799,6.687606330789346,5.260544727825486
0.20000000000000015,6.790484649758786,6.7904849275789605,6.790484940682357,4.931244333895126
0.20200000000000015,6.888340364462829,6.888340628942717,6.888340647391135,4.586498848487938
0.20400000000000015,6.981244206130098,6.981244488221947,6.9812445048240095,4.227388044820945
0.20600000000000016,7.069253455917176,7.069253758907003,7.069253767734211,3.855036689552905
0.20800000000000016,7.152410694937791,7.1524110783046195,7.152411009397946,3.4706110199160913
0.21000000000000016,7.230742678199088,7.230743076918848,7.230742977911587,3.075315090958598
0.21200000000000016,7.304258992395066,7.304259416827722,7.304259289040523,2.670387004337878
0.21400000000000016,7.372950443837082,7.372950891193938,7.372950784254235,2.2570950304773802
0.21600000000000016,7.436787110008812,7.4367875723251355,7.436787516665812,1.8367336362318487
0.21800000000000017,7.495715971221507,7.495716426447639,7.495716406760992,1.4106194305031843
0.22000000000000017,7.549658016124497,7.549658483479875,7.549658487159191,0.980087040505417
0.22200000000000017,7.5985046842787325,7.598505175587856,7.598505173177682,0.5464849315947563
0.22400000000000017,7.6421134675994615,7.642113969839951,7.642114003010434,0.1111711837573498
0.22600000000000017,7.680302435818078,7.680302928118189,7.680302996593865,-0.3244907620168165
0.22800000000000017,7.712843372743777,7.7128438708085625,7.712843944866451,-0.7591363741511571
0.23000000000000018,7.739453100392668,7.739453700563439,7.73945368073644,-1.1914043043155416
0.23200000000000018,7.759782412435032,7.759783055678079,7.759783032339841,-1.6199406512891366
0.23400000000000018,7.773401814517926,7.773402472736566,7.773402463973934,-2.043403201498249
0.23600000000000018,7.779782941900606,7.7797836123764466,7.779783617312651,-2.460465632947426
0.23800000000000018,7.778274038930065,7.778274733514659,7.778274750138597,-2.8698216693767375
0.24000000000000019,7.768067150219461,7.768067919955749,7.768067879257025,-3.270189171634048
0.2420000000000002,7.748153541596826,7.748154399623768,7.748154267907345,-3.6603141534477364
0.2440000000000002,7.7172620907245895,7.717263013987783,7.717262800725674,-4.03897470902212
0.2460000000000002,7.673772537004973,7.673773493281022,7.673773239643401,-4.404984840154003
0.2480000000000002,7.615590821042804,7.615591796641726,7.615591522959058,-4.757198170883488
0.25000000000000017,7.53996599288951,7.53996694225992,7.539966730766952,-5.094511538044409
0.25200000000000017,7.443215116534563,7.443216051521704,7.443215951865034,-5.415868446468542
0.25400000000000017,7.32030061295466,7.320301601163712,7.320301485817922,-5.720262378021458
0.25600000000000017,7.164168377340052,7.164169430398661,7.164169285562497,-6.006739944105982
0.2580000000000002,6.964700641238783,6.964701776353072,6.964701647251607,-6.274403871759219
0.2600000000000002,6.707076155269253,6.707077372669146,6.7070773313120045,-6.522415813990487
0.2620000000000002,6.369342155427789,6.369343533318443,6.369343462864278,-6.749998975557904
0.2640000000000002,5.9193916218611315,5.919393224080824,5.919393116965292,-6.9564405459595005
0.2660000000000002,5.313111342128836,5.313113196737629,5.3131130964613975,-7.141093932018468
0.2680000000000002,4.4993534290483765,4.499355491256324,4.499355436192718,-7.303380783069925
0.2700000000000002,3.4418308007694063,3.441833020375915,3.441833021744075,-7.442792802406132
0.2720000000000002,2.1604762664165365,2.1604784439810336,2.160478575666305,-7.558893339306539
0.2740000000000002,0.7603506425618701,0.7603526398531715,0.760352866446735,-7.6513187566662815
0.2760000000000002,-0.6050331138279944,-0.6050313661671782,-0.6050311234261727,-7.719779569939631
0.2780000000000002,-1.8203035291999676,-1.8203019812013428,-1.8203018101839383,-7.764061353831063
0.2800000000000002,-2.8537531530770512,-2.853751739300002,-2.853751620841548,-7.784025413894176
0.2820000000000002,-3.730129549045358,-3.730128173679801,-3.730128131398652,-7.779609220934904
0.2840000000000002,-4.4844825642789585,-4.484481213544436,-4.4844812453501515,-7.750826606858471
0.2860000000000002,-5.1400911700508916,-5.140089837809841,-5.140089916904797,-7.697767721346629
0.2880000000000002,-5.708767772463646,-5.708766502123476,-5.708766565198487,-7.620598749500927
0.2900000000000002,-6.197199792540106,-6.197198575026212,-6.197198632544279,-7.519561391336332
0.2920000000000002,-6.610749097294898,-6.610747937223203,-6.6107479749252125,-7.3949721047555155
0.2940000000000002,-6.954400101502784,-6.954399018414554,-6.954399052573964,-7.2472211143748115
0.2960000000000002,-7.232724922416842,-7.232723948145475,-7.2327240238683075,-7.076771189306382
0.2980000000000002,-7.449851557375976,-7.449850801379058,-7.449850924085612,-6.884156193724582
0.3000000000000002,-7.609551724751255,-7.609551314056543,-7.609551428974576,-6.669979414756385
0.3020000000000002,-7.715346919034225,-7.715346878264318,-7.715346995678332,-6.434911672932962
0.3040000000000002,-7.7705842503735365,-7.77058449994424,-7.770584639177518,-6.179689221120694
0.3060000000000002,-7.778484346155861,-7.778484719611208,-7.778484896691929,-5.905111438512407
0.3080000000000002,-7.742172541741812,-7.74217283250987,-7.742173022379714,-5.612038326901288
0.3100000000000002,-7.6646998106501085,-7.664699857340993,-7.664700080468005,-5.3013878170796165
0.3120000000000002,-7.549056350262469,-7.549056125373044,-7.549056348541645,-4.974132893798613
0.3140000000000002,-7.3981794296022905,-7.398178976282312,-7.398179181986214,-4.631298548294603
0.3160000000000002,-7.214956504862291,-7.214955946969877,-7.214956101023576,-4.273958567926122
0.3180000000000002,-7.002224299915416,-7.002223727092388,-7.002223840404892,-3.9032321729774506
0.32000000000000023,-6.762764597321833,-6.762764089879553,-6.762764125255842,-3.5202805111620354
0.32200000000000023,-6.499297717435201,-6.499297275180677,-6.499297250484265,-3.1263030208056954
0.32400000000000023,-6.21447472336667,-6.214474318366325,-6.2144742558681285,-2.7225336741000774
0.32600000000000023,-5.910869117538198,-5.910868738278835,-5.910868657184213,-2.310237112193192
0.32800000000000024,-5.590968378694488,-5.590968020511012,-5.59096793330703,-1.8907046842218742
0.33000000000000024,-5.25716543617533,-5.257165119145153,-5.257165001402779,-1.4652504026926865
0.33200000000000024,-4.911750209130836,-4.911749952880679,-4.9117498075630355,-1.0352068278789295
0.33400000000000024,-4.556901511348709,-4.556901291098244,-4.556901146708141,-0.6019208941246387
0.33600000000000024,-4.194679726537615,-4.1946795389471445,-4.194679392154265,-0.1667496911275051
0.33800000000000024,-3.827020609613862,-3.827020478695292,-3.827020284999598,0.2689437865854496
0.34000000000000025,-3.4557304302922605,-3.455730349177233,-3.455730093687358,0.7037949086768598
0.34200000000000025,-3.0824825485256278,-3.0824824863540043,-3.08248220503197,1.1364416831412834
0.34400000000000025,-2.7088154436118077,-2.708815393688662,-2.7088151016592,1.5655290221842089
0.34600000000000025,-2.3361321928365095,-2.3361321325648206,-2.336131886991683,1.9897129864762355
0.34800000000000025,-1.9657013754239225,-1.9657013051307999,-1.9657010673521649,2.407664994489508
0.35000000000000026,-1.5986593452189042,-1.5986592397177297,-1.5986590638860652,2.8180759837319393
0.35200000000000026,-1.2360137747682942,-1.2360136759938003,-1.2360134996700005,3.2196605108463103
0.35400000000000026,-0.878648336001467,-0.8786482122459134,-0.8786480544615415,3.6111607777319596
0.35600000000000026,-0.5273283561708336,-0.5273282092229381,-0.5273280420895284,3.991350571079283
0.35800000000000026,-0.18270727318967267,-0.18270713563305646,-0.18270699907815577,4.359039102977698
0.36000000000000026,0.15466629033753315,0.15466645142557747,0.1546665573832511,4.713074740568333
0.36200000000000027,0.4843410127833866,0.48434117975133384,0.48434128396845516,5.052348613059466
0.36400000000000027,0.8059550893619026,0.8059552662296712,0.8059553605516679,5.375798084807524
0.36600000000000027,1.1192283361634234,1.1192285094242098,1.1192285855962127,5.682410083585514
0.36800000000000027,1.4239543240897563,1.4239545077336377,1.4239545358545036,5.971224273614379
0.3700000000000003,1.7199926655520321,1.7199928593053313,1.719992831982449,6.241336063419293
0.3720000000000003,2.0072615565130287,2.007261727470182,2.007261699882986,6.491899439089754
