,a0,alpha,delta,gamma,omega,forcing,eta,wiggles
0,24.756568368937785,1e-06,0.15030757615927642,1.4,15.945497772417747,0.09681184747044519,0.9493670886075921,no
1,23.26811662261811,1e-06,0.15941623735095412,1.4,18.256136217580888,0.12507778741078687,0.9420289855072463,no
2,18.5599659046619,1e-06,0.1506446110603369,1.4,17.168353272457082,0.13934938860130808,0.9178082191780822,no
3,24.683140365751214,1e-06,0.213273828209456,1.4,18.71853834721125,0.16173688893065402,0.9104477611940298,no
4,21.733879809920957,1e-06,0.2182708668907552,1.4,19.02120957202945,0.1910278302313248,0.8939393939393939,no
5,19.3183727449381,1e-06,0.22089790438467607,1.4,17.766842350444087,0.20315677177180314,0.8732394366197183,no
6,20.072587800002054,1e-06,0.21846358664962964,1.4,20.079003820844747,0.2185334165559317,0.8709677419354839,no
7,20.38469515988302,1e-06,0.16481688593932642,1.4,29.526301483097356,0.2387297443293112,0.7619047619047619,no
8,18.985722389485144,1e-06,0.20003378472037836,1.4,24.693912862782454,0.2601753437748207,0.7647058823529411,no
9,23.19791814640626,1e-06,0.26684825220212244,1.4,24.61107916073299,0.2831040017212527,0.803921568627451,no
10,19.055834014104946,1e-06,0.23399071811850658,1.4,24.204747360561285,0.2972153416419641,0.75,no
11,18.90176714741132,1e-06,0.25109866018777705,1.4,24.42907389357046,0.3245256211477474,0.7115384615384616,no
12,19.08578810978762,1e-06,0.23683841571001535,1.4,27.2963975706097,0.33872510362297276,0.6521739130434783,no
13,21.590502501244604,1e-06,0.29018097921661173,1.4,27.068052997022296,0.3638004314031266,0.6956521739130435,no
14,18.00446860401567,1e-06,0.2615827781806117,1.4,26.663224827603557,0.38738385336755754,0.5957446808510638,no
15,20.790123508015608,1e-06,0.28187207161701455,1.4,29.498393378907114,0.3999386173863,0.6046511627906976,no
