,nonlinear,RB
59,3.1622776601683777,2.1061575777455465e-06
60,3.1622776601683777,1.8241266770914812e-06
61,3.1622776601683773,9.534164754922931e-07
62,3.1622776601683773,5.280728365471805e-07
63,8.006064348218346e-15,2.990782642350804e-07
64,7.747612127340369e-15,2.4258520920228586e-07
65,7.677846418241752e-15,1.9040938840176877e-07
66,7.45050000632475e-15,1.564496428270134e-07
67,7.216886984782731e-15,1.2392240361011563e-07
68,6.999554465938763e-15,8.148588608099542e-08
69,6.737917228044979e-15,4.4463430357364204e-08
70,6.588144436640092e-15,2.8914989084437185e-08
71,6.487672879459929e-15,2.256809532727785e-08
72,6.440255249999787e-15,1.9664292105993935e-08
73,6.390865292955176e-15,1.5765240842433545e-08
74,6.1981436439044516e-15,1.2466476943599306e-08
75,6.079326138006019e-15,1.030927843551467e-08
76,5.990189518200027e-15,9.189232168356355e-09
77,5.928651431801346e-15,8.048089701278582e-09
78,5.863500080890482e-15,7.311940298997162e-09
79,5.7800477947230184e-15,5.335693263546911e-09
80,5.621401000514355e-15,5.0742383555481886e-09
81,5.436553571378549e-15,4.159307934406894e-09
82,5.424991453222744e-15,4.014412771910106e-09
83,5.384367322995168e-15,3.3272694537717265e-09
84,5.297519653807981e-15,2.828343356747077e-09
85,5.253995909096291e-15,2.444129245806288e-09
86,5.17181694336788e-15,2.2699223044636852e-09
87,5.1304281132169286e-15,1.6991715062660519e-09
88,5.091904049068907e-15,1.4755008973945558e-09
89,5.002221642741108e-15,1.449662105022267e-09
90,4.8873528678230566e-15,1.2380445229814237e-09
91,4.8437116718527294e-15,1.033163399978137e-09
92,4.819341065347025e-15,8.889464097682399e-10
93,4.745601886587781e-15,8.115292256365283e-10
94,4.711720548466822e-15,7.643012024547852e-10
95,4.597678494715276e-15,7.23059838285236e-10
96,4.583005718076897e-15,6.682823363645891e-10
97,4.554339297270817e-15,5.786854418984498e-10
98,4.523886983449795e-15,4.702969865653813e-10
99,4.431654224500939e-15,4.4908905510442615e-10
100,4.371334034431856e-15,3.6968834953429895e-10
101,4.358344492613097e-15,3.534231626700445e-10
102,4.3313784425879805e-15,3.2117863244526595e-10
103,4.280005188320705e-15,3.0634655764040326e-10
104,4.224039055331187e-15,2.75483378768044e-10
105,4.1786564155290975e-15,2.527255628032535e-10
106,4.146502449191561e-15,2.2609660603136782e-10
107,4.107251462284517e-15,1.9602379700363773e-10
108,4.079796457067239e-15,1.7115473573532717e-10
109,4.047839976588016e-15,1.637556550338848e-10
110,3.972778862427488e-15,1.4282448169916063e-10
111,3.95250893947474e-15,1.2774268891078408e-10
112,3.923091401671591e-15,1.1791332156994226e-10
113,3.8850254206517356e-15,1.0420645034426917e-10
114,3.8461926051933e-15,9.85876419440899e-11
115,3.791950076506501e-15,9.320641707221338e-11
116,3.773169009047771e-15,8.111193294686474e-11
117,3.712722971524312e-15,7.106699040010531e-11
118,3.6553817466795136e-15,6.870447651367128e-11
119,3.625251006661658e-15,5.7504130786515685e-11
120,3.604231457535727e-15,4.914559959159508e-11
121,3.583917751712183e-15,4.5900212395832914e-11
122,3.527842643190165e-15,4.108112858169094e-11
123,3.518622314761411e-15,3.749051489070196e-11
124,3.468978331850941e-15,3.667271536636753e-11
125,3.45059624694813e-15,3.3080963859820213e-11
126,3.42985169377061e-15,2.961827765207776e-11
127,3.4052407470304277e-15,2.7809839716901336e-11
128,3.3684790349379147e-15,2.5681433924592657e-11
129,3.356297238726984e-15,2.120098627374719e-11
130,3.33563952873814e-15,1.7491750238221875e-11
131,3.305242610496765e-15,1.7231719457699514e-11
132,3.293521516655405e-15,1.5493956395003217e-11
133,3.276592571534742e-15,1.4642270461913725e-11
134,3.2584993830092785e-15,1.3431129063936439e-11
135,3.219050303057354e-15,1.194353130470226e-11
136,3.2028007606716888e-15,1.0890659926738722e-11
137,3.1966981981236036e-15,1.0429061045164506e-11
138,3.189268968349422e-15,8.939501277086595e-12
139,3.164672288761138e-15,8.44979985339759e-12
140,3.134177347934111e-15,8.209401319846049e-12
141,3.113910882474949e-15,7.54979975900214e-12
142,3.0914623322884377e-15,6.388335671369209e-12
143,3.070411100220064e-15,6.243820802105564e-12
144,3.0649266078072547e-15,5.525613867158575e-12
145,3.048290994598174e-15,4.8771702825993116e-12
146,3.0293647977283444e-15,4.687709439287038e-12
147,3.007608587625019e-15,4.1534515893287234e-12
148,2.990521531642638e-15,3.894050457578703e-12
149,2.977360149812471e-15,3.366729279684684e-12
150,2.969007483576042e-15,3.302199567977428e-12
151,2.9482711017802026e-15,2.811256419825649e-12
152,2.9416769372360127e-15,2.6682101365085086e-12
153,2.933520436234714e-15,2.5737060083609765e-12
154,2.9265602923827397e-15,2.4174004385876723e-12
155,2.9002705261555925e-15,2.1133782088678227e-12
156,2.8867751073395232e-15,1.8842917945923553e-12
157,2.8813539447791093e-15,1.7594948991131154e-12
158,2.8681964346714578e-15,1.6511995143047853e-12
159,2.8593313277644345e-15,1.4510261422030756e-12
160,2.835978310482862e-15,1.384276179608531e-12
161,2.827602861345675e-15,1.278517032584817e-12
162,2.8100044713415016e-15,1.2057176634178727e-12
163,2.800817772519862e-15,1.1941666231309166e-12
164,2.7801488950324705e-15,1.1104969807328417e-12
165,2.770916485447079e-15,1.0236725681823068e-12
166,2.757155451869088e-15,9.200799654684788e-13
167,2.755719059119808e-15,8.6236231723535e-13
168,2.741167263713803e-15,7.600864325913033e-13
169,2.726271367713729e-15,7.407648574057723e-13
170,2.7098765139977996e-15,7.170745105927688e-13
171,2.702793195811793e-15,6.477115929966017e-13
172,2.68999509866321e-15,6.049564027930597e-13
173,2.680536204589425e-15,5.790316352435857e-13
174,2.6773544501211663e-15,5.423312368559117e-13
175,2.6624555185586094e-15,4.998239987945067e-13
176,2.6512473526714758e-15,4.43868470825171e-13
177,2.644034942172824e-15,4.172370834596332e-13
178,2.6190276357319394e-15,3.880826886011723e-13
179,2.613730333344873e-15,3.6645596276372903e-13
180,2.6073163690907524e-15,3.3331858966252783e-13
181,2.5980800754545817e-15,3.176870218335229e-13
182,2.5926641682725554e-15,3.138378954340442e-13
183,2.58341513689402e-15,2.921952350475219e-13
184,2.571973299828391e-15,2.7576345466596933e-13
185,2.5510244484671468e-15,2.4227248033787046e-13
186,2.544238604972376e-15,2.1747319894485624e-13
187,2.537900540973878e-15,1.98461895063656e-13
188,2.5282102307445136e-15,1.9194816901726788e-13
189,2.521220540238745e-15,1.7398407225975448e-13
190,2.5189550982811568e-15,1.7043459934834265e-13
191,2.50730467967265e-15,1.5837183900894527e-13
192,2.498295687245165e-15,1.49406080564173e-13
193,2.4897760248518763e-15,1.4718407203772084e-13
194,2.4800448100729317e-15,1.2983591755738223e-13
195,2.474016782509347e-15,1.269607330386139e-13
196,2.4558597929913003e-15,1.144497070346937e-13
197,2.446415002909e-15,1.1312265662536514e-13
198,2.438148745536944e-15,1.0814107521372362e-13
199,2.42962111199701e-15,1.0214985581281728e-13
200,2.4213023589607248e-15,9.597517302074086e-14
201,2.4085526307151513e-15,9.208103395354218e-14
202,2.406003294398791e-15,8.72921006570219e-14
203,2.400009612632692e-15,8.12501993143712e-14
204,2.3848954091806936e-15,7.365685538426959e-14
205,2.3792629402284058e-15,6.755077350610388e-14
206,2.369639991209632e-15,6.721587188439775e-14
207,2.355423772027658e-15,6.532690086478453e-14
208,2.3519130235132148e-15,5.877582249559064e-14
209,2.3467945225959014e-15,5.704686592830702e-14
210,2.3376768671362124e-15,5.3662553891076885e-14
211,2.3226540069865565e-15,5.1689810772681413e-14
212,2.314031220507822e-15,5.0295182631308205e-14
213,2.3128601362232778e-15,4.629970144269043e-14
214,2.302997513092303e-15,4.4084798871200554e-14
215,2.3011197689004224e-15,4.273427992389997e-14
216,2.2919751316064363e-15,4.0565213988866744e-14
217,2.2781465897308505e-15,3.727846588969677e-14
218,2.276319663607729e-15,3.474463313287015e-14
219,2.2752816531146026e-15,3.383849627436198e-14
220,2.2681960780139365e-15,3.318973988378897e-14
221,2.2617223187607425e-15,2.9789627852257784e-14
222,2.255060273878131e-15,2.7822467802214357e-14
223,2.2471881744920186e-15,2.7250870045682766e-14
224,2.238746354260993e-15,2.6405041668380225e-14
225,2.230305533622625e-15,2.5956144317708663e-14
226,2.22848462089546e-15,2.394579675422901e-14
227,2.222946213574058e-15,2.332838312019194e-14
228,2.2048824086619783e-15,2.165413387064875e-14
229,2.1960066248520256e-15,2.083537827872448e-14
230,2.193923349026053e-15,2.025300866692527e-14
231,2.1906271425782534e-15,1.8919916918575187e-14
232,2.186353060753371e-15,1.8297948211061097e-14
233,2.170586637735845e-15,1.74653742709871e-14
234,2.1663846058781614e-15,1.712756687689226e-14
235,2.1633589640308097e-15,1.654237186566702e-14
236,2.1553513210953665e-15,1.5250853760779488e-14
237,2.1537583532620913e-15,1.4756344404797622e-14
238,2.1459509874841604e-15,1.4486615552145675e-14
239,2.1401318392213923e-15,1.3974335929373007e-14
240,2.133098449193536e-15,1.3876747827469816e-14
241,2.122589816371627e-15,1.3394986003801242e-14
242,2.1201648871363442e-15,1.2706952551511918e-14
243,2.1096744564539695e-15,1.2663338072584834e-14
244,2.0990784864017156e-15,1.128697205023674e-14
245,2.0973762915143964e-15,1.0812568528506943e-14
246,2.096117318899695e-15,1.063676296263967e-14
