   , TTTT               , TTTF               , TTFT               , TTFF               , FTTT               , FTTF               , FTFT               , FTFF               , TFTT               , TFTF               , TFFT               , TFFF               , FFTT               , FFTF               , FFFT               , FFFF
10 , -4.4896905803439795, -4.489690575920898 , -5.01543367612297  , -5.01543367641747  , -4.489690581277264 , -4.489690567858072 , -5.015433676051892 , -5.015433676011881 , -4.48969057929716  , -4.48969057466362  , -5.015433676373277 , -5.015433676132437 , -4.489690583381885 , -4.48969057170558  , -5.015433675985354 , -5.015433676132727
11 , -4.440784515419256 , -4.440784510980356 , -4.988958074944475 , -4.98895807526667  , -4.440784516345507 , -4.440784503010275 , -4.9889580748838895, -4.98895807482748  , -4.440784514371026 , -4.440784509649639 , -4.988958075196519 , -4.988958074954764 , -4.440784518347085 , -4.4407845067867235, -4.98895807480176  , -4.988958074962446
12 , -4.396203774715837 , -4.396203770270073 , -4.965439639660512 , -4.965439640013321 , -4.396203775640118 , -4.396203762304634 , -4.965439639609926 , -4.965439639538673 , -4.396203773662366 , -4.396203768877763 , -4.965439639917599 , -4.965439639674089 , -4.396203777602185 , -4.396203766047787 , -4.9654396395134155, -4.965439639676641
13 , -4.355344622316976 , -4.355344617870696 , -4.944429318144335 , -4.944429318526893 , -4.355344623242402 , -4.3553446098532635, -4.944429318102903 , -4.944429318016787 , -4.355344621255223 , -4.355344616426646 , -4.944429318404153 , -4.94442931815885  , -4.355344625208769 , -4.355344613588564 , -4.944429317992269 , -4.944429318170422
14 , -4.317712751313179 , -4.317712746870901 , -4.925571120663055 , -4.925571121076331 , -4.317712752242191 , -4.317712738765616 , -4.925571120634037 , -4.925571120530515 , -4.317712750242518 , -4.317712745383183 , -4.925571120932856 , -4.925571120686805 , -4.317712754239351 , -4.317712742510543 , -4.925571120515658 , -4.925571120689676
15 , -4.282899437324234 , -4.282899432889439 , -4.9085780616448975, -4.908578062094058 , -4.282899438258363 , -4.282899424674747 , -4.908578061634546 , -4.908578061511666 , -4.282899436244626 , -4.282899431362185 , -4.908578061926261 , -4.908578061675505 , -4.282899440303816 , -4.282899428437874 , -4.908578061505875 , -4.908578061683092
16 , -4.250563672945001 , -4.25056366851959  , -4.893215407635885 , -4.893215408121689 , -4.250563673884951 , -4.250563660183892 , -4.893215407644954 , -4.8932154075056635, -4.250563671856051 , -4.250563666958514 , -4.893215407929991 , -4.89321540767419  , -4.250563675989545 , -4.250563663972848 , -4.893215407508871 , -4.893215407681122
17 , -4.22072423428051  , -4.220724229885086 , -4.879288720577802 , -4.879288721101984 , -4.220724235254834 , -4.220724220972085 , -4.879288720607471 , -4.879288720452242 , -4.220724233158664 , -4.220724228330873 , -4.879288720892332 , -4.879288720638709 , -4.220724237724012 , -4.220724224981634 , -4.879288720472501 , -4.8792887206402
18 , -4.192837817345289 , -4.192837812975228 , -4.866635138033985 , -4.866635138598279 , -4.192837818347555 , -4.192837803593466 , -4.866635138086969 , -4.866635137913843 , -4.192837816196034 , -4.1928378114221445, -4.866635138368843 , -4.866635138112698 , -4.192837821109785 , -4.192837807778481 , -4.866635137943743 , -4.866635138117056
19 , -4.166690574011414 , -4.166690569662978 , -4.855116892532825 , -4.855116893138555 , -4.166690575036483 , -4.166690559896119 , -4.85511689260517  , -4.855116892418255 , -4.16669057284195  , -4.166690568109219 , -4.855116892898213 , -4.855116892633676 , -4.166690578039225 , -4.166690564224536 , -4.855116892469708 , -4.855116892636878
20 , -4.142100054009925 , -4.142100049679776 , -4.844616413595358 , -4.844616414241616 , -4.142100055053863 , -4.142100039593215 , -4.8446164136832195, -4.844616413486243 , -4.142100052821967 , -4.142100048123083 , -4.844616413991629 , -4.844616413719202 , -4.1421000582550755, -4.142100044038463 , -4.844616413553559 , -4.844616413717008
21 , -4.118909565714607 , -4.118909561399804 , -4.835032570138621 , -4.835032570825193 , -4.118909566774144 , -4.118909551045256 , -4.835032570237045 , -4.835032570029238 , -4.1189095645117915, -4.118909559838418 , -4.835032570562133 , -4.835032570279466 , -4.118909570140274 , -4.1189095555866615, -4.835032570110189 , -4.835032570275522
22 , -4.096983724735381 , -4.096983720433609 , -4.826277748742549 , -4.8262777494682325, -4.096983725808173 , -4.0969837098524335, -4.826277748852358 , -4.826277748633308 , -4.0969837235201965, -4.096983718868961 , -4.826277749185248 , -4.8262777488984145, -4.096983729313931 , -4.096983714475118 , -4.8262777487268815, -4.826277748898805
23 , -4.076204904662554 , -4.0762049003719545, -4.81827555412266  , -4.818275554883897 , -4.076204905746745 , -4.076204889597629 , -4.818275554241093 , -4.818275554012197 , -4.076204903436652 , -4.076204898801458 , -4.818275554588901 , -4.818275554289197 , -4.076204909370358 , -4.076204894288291 , -4.818275554116325 , -4.8182755542839715
24 , -4.056470381054925 , -4.056470376773632 , -4.810958979242893 , -4.810958980037941 , -4.056470382148798 , -4.0564703658336505, -4.8109589793656085, -4.810958979124802 , -4.056470379818625 , -4.056470375198151 , -4.8109589797211765, -4.810958979413472 , -4.056470385873087 , -4.056470370581192 , -4.810958979240881 , -4.810958979409554
25 , -4.037690013915506 , -4.037690009641912 , -4.804268934456092 , -4.804268935285678 , -4.03769001501776  , -4.0376899985589665, -4.804268934583433 , -4.804268934330725 , -4.037690012671094 , -4.037690008060906 , -4.804268934944746 , -4.804268934631428 , -4.037690018828319 , -4.037690003354947 , -4.804268934462418 , -4.804268934620048
26 , -4.019784352613695 , -4.019784348346458 , -4.798153054325963 , -4.798153055192459 , -4.019784353723374 , -4.01978433713947  , -4.798153054462711 , -4.798153054196048 , -4.019784351361794 , -4.019784346760771 , -4.798153054840074 , -4.798153054516523 , -4.019784357608467 , -4.019784341975572 , -4.798153054346362 , -4.798153054507962
27 , -4.002683075258179 , -4.002683070996142 , -4.792564721473331 , -4.792564722376821 , -4.002683076374412 , -4.002683059681056 , -4.792564721613766 , -4.792564721336661 , -4.0026830740000845, -4.002683069405471 , -4.792564722007942 , -4.792564721683675 , -4.002683080324635 , -4.00268306455377  , -4.792564721507166 , -4.792564721664473
28 , -3.9863236950917442, -3.986323690833861 , -4.78746226171109  , -4.787462262652188 , -3.986323696213713 , -3.986323679424301 , -4.787462261853407 , -4.787462261567023 , -3.986323693828499 , -3.986323689239059 , -4.787462262261336 , -4.787462261933355 , -3.9863237002203125, -3.986323684328304 , -4.78746226176163  , -4.787462261907685
29 , -3.9706504817360537, -3.970650477481302 , -4.782808275622389 , -4.78280827659835  , -3.970650482863128 , -3.9706504659889896, -4.782808275766602 , -4.782808275469204 , -3.9706504804673752, -3.9706504758825814, -4.782808276194662 , -4.782808275848446 , -3.9706504869193   , -3.970650470920124 , -4.782808275673612 , -4.782808275824141
