,rb,nonlinear
0,0.03460207612456753,0.015873015873015907
1,0.06920415224913504,0.031746031746031814
2,0.10380622837370251,0.04761904761904772
3,0.13840830449827,0.06349206349206361
4,0.17301038062283747,0.07936507936507951
5,0.20761245674740494,0.09523809523809541
6,0.24221453287197242,0.11111111111111129
7,0.2768166089965398,0.1269841269841272
8,0.3114186851211072,0.14285714285714307
9,0.3460207612456745,0.15873015873015894
10,0.3806228373702411,0.17460317460317482
11,0.41522491349479745,0.19047619047619072
12,0.4498269896193029,0.2063492063492066
13,0.484429065743484,0.22222222222222246
14,0.5190311418634013,0.23809523809523833
15,0.5536332178363726,0.2539682539682542
16,0.5882352917823572,0.26984126984127005
17,0.6228373376324472,0.2857142857142859
18,0.657438793174467,0.3015873015873018
19,0.6920396987274776,0.31746031746031766
20,0.7266401067023047,0.33333333333333354
21,0.7612368537409757,0.3492063492063494
22,0.795799767730344,0.3650793650793653
23,0.830259627073732,0.38095238095238115
24,0.8642326683389434,0.396825396825397
25,0.8966199453736133,0.41269841269841295
26,0.9238606628783366,0.4285714285714288
27,0.9452052532180033,0.4444444444444447
28,0.9629069249734695,0.46031746031746057
29,0.9752499560485204,0.47619047619047644
30,0.9835039647267749,0.4920634920634923
31,0.9898339954353093,0.5079365079365082
32,0.9934888571001896,0.5238095238095241
33,0.9969728566605472,0.53968253968254
34,0.9993964465483968,0.5555555555555558
35,0.9998769708748111,0.5714285714285717
36,0.9999790120214511,0.5873015873015875
37,0.9999958690099648,0.6031746031746035
38,0.9999985828898366,0.6190476190476193
39,0.9999994329871256,0.6349206349206352
40,0.9999998803746136,0.650793650793651
41,0.999999940025589,0.666666666666667
42,0.9999999668080994,0.6825396825396828
43,0.9999999827725994,0.6984126984126987
44,0.9999999937321927,0.7142857142857145
45,0.9999999963164086,0.7301587301587305
46,0.999999997923828,0.7460317460317463
47,0.999999998725268,0.7619047619047622
48,0.9999999993819736,0.777777777777778
49,0.9999999998561685,0.7936507936507939
50,0.9999999999144015,0.8095238095238098
51,0.999999999964,0.8253968253968256
52,0.9999999999822197,0.8412698412698415
53,0.9999999999954627,0.8571428571428573
54,0.9999999999975957,0.8730158730158732
55,0.9999999999995541,0.8888888888888891
56,0.9999999999998688,0.904761904761905
57,0.9999999999999378,0.9206349206349208
58,0.9999999999999695,0.9365079365079367
59,0.9999999999999849,0.9523809523809526
60,0.9999999999999964,0.9682539682539685
61,0.9999999999999996,0.9841269841269843
62,1.0000000000000007,1.0000000000000002
63,1.0000000000000009,1.0000000000000002
64,1.000000000000001,1.0000000000000002
