,fom,rom,srom,piston
0.002,-3.295330601549482e-05,0.005797498754149519,-2.7541290853743877e-05,-0.25180295956577714
0.004,-2.665495711685379e-05,0.008084958240178648,-3.0291732601877635e-05,-0.5030050667728874
0.006,2.9997017748260317e-06,0.003933687387353253,-1.553506827376089e-05,-0.7530069030168577
0.008,-5.5150057913060915e-05,-0.007170344840953379,-7.296277731380933e-05,-1.0012119137804523
0.01,-0.0005652137534594797,-0.024934972404306744,-0.0004617618121916869,-1.2470278321323733
0.012,-0.002527583020066682,-0.04983517981810314,-0.0022611927848923633,-1.4898680919949279
0.014,-0.008327266844025282,-0.08333684184359408,-0.007957820481500765,-1.72915322780833
0.016,-0.022887658896841856,-0.12778882947823877,-0.022504903471996344,-1.964312257251721
0.018000000000000002,-0.05493103518744112,-0.18732682647369547,-0.054678769365416095,-2.194784043721506
0.020000000000000004,-0.11749494849122029,-0.2696069246682873,-0.11747719398427164,-2.420018635315812
0.022000000000000006,-0.2264234339542859,-0.3864999941366465,-0.22656932080000997,-2.63947857713002
0.024000000000000007,-0.39581229787171124,-0.551623660362088,-0.39600499711037795,-2.852640193731948
0.02600000000000001,-0.6309824946866622,-0.7749850369303599,-0.6311332184091138,-3.0589948387564525
0.02800000000000001,-0.9223395485921468,-1.0577715718604506,-0.922388887229007,-3.258050108637658
0.030000000000000013,-1.2455780952619488,-1.390789079302744,-1.2454938456320563,-3.449331017582615
0.032000000000000015,-1.571215679581751,-1.7575728389073306,-1.5710933578642872,-3.6323811309826572
0.034000000000000016,-1.878620904093371,-2.1398556603295265,-1.87858922046479,-3.8067636545579115
0.03600000000000002,-2.1635688500455252,-2.521583962091638,-2.1635005982115674,-3.972062476636045
0.03800000000000002,-2.43349261464695,-2.8892626582794656,-2.433255949144447,-4.127883161078166
0.04000000000000002,-2.696446070791418,-3.2299409331950493,-2.696201167588156,-4.273853888482547
0.04200000000000002,-2.9544015961087564,-3.52950292791573,-2.954454473307415,-4.409626343420289
0.044000000000000025,-3.204453385978676,-3.77363517966432,-3.204765393349251,-4.5348765455857825
0.04600000000000003,-3.4432110835554393,-3.951504012205692,-3.443490567953083,-4.649305622878689
0.04800000000000003,-3.669001665671571,-4.060221295804768,-3.6690778075935295,-4.752640524572713
0.05000000000000003,-3.881261604922079,-4.107771192022876,-3.8811940797788664,-4.844634672869389
0.05200000000000003,-4.079437553109579,-4.112088042478983,-4.079274415696819,-4.925068551282154
0.054000000000000034,-4.262735818365855,-4.097135148601055,-4.262450043474533,-4.993750228446718
0.056000000000000036,-4.430354419256352,-4.088303630631924,-4.4300470644474945,-5.050515816107783
0.05800000000000004,-4.5816423091126435,-4.109024750713745,-4.58142566126256,-5.0952298601892805
0.06000000000000004,-4.71606199891039,-4.178543089143617,-4.716028043213685,-5.127785664014978
0.06200000000000004,-4.83316510957467,-4.3091604879165075,-4.833281248575936,-5.148105542908127
0.06400000000000004,-4.932590342603991,-4.5020365048689985,-4.9328375113096214,-5.156141009562691
0.06600000000000004,-5.014066655861764,-4.742825614693354,-5.014463963447338,-5.151872889743783
0.06800000000000005,-5.077410331282575,-5.001806247630226,-5.077889867363975,-5.135311368041228
0.07000000000000005,-5.122531526126444,-5.240118066620617,-5.122769596137227,-5.106495963567095
0.07200000000000005,-5.149423344176628,-5.4209809290727025,-5.149191630545462,-5.065495435655169
0.07400000000000005,-5.158161574529352,-5.520115124616681,-5.157659467481401,-5.012407619787391
0.07600000000000005,-5.148905388003751,-5.53007913621777,-5.148558599816442,-4.947359194138777
0.07800000000000006,-5.121891220761596,-5.4577407728263365,-5.121881964670792,-4.870505377297886
0.08000000000000006,-5.0774296300965025,-5.3183327928412645,-5.077578093088918,-4.782029557884149
0.08200000000000006,-5.015905617241297,-5.130244717564608,-5.015968324750987,-4.682142856945836
0.08400000000000006,-4.937770695311455,-4.9128210097042855,-4.937700948395317,-4.571083624182899
0.08600000000000006,-4.8435404333959005,-4.6869988560433855,-4.843439775959829,-4.449116869196789
0.08800000000000006,-4.733789379747546,-4.476453785148496,-4.733732156448423,-4.316533629124406
0.09000000000000007,-4.60914918409383,-4.305656652667732,-4.609125206359032,-4.173650274165116
0.09200000000000007,-4.470300905315092,-4.1929473944502105,-4.470275120568462,-4.020807752658018
0.09400000000000007,-4.317971669206549,-4.141032823939167,-4.317933789986963,-3.858370777510824
0.09600000000000007,-4.15293022975611,-4.1310859917657785,-4.1528878853386075,-3.6867269559217317
0.09800000000000007,-3.97598097585581,-4.125531248646042,-3.9759389539384378,-3.5062858644709065
0.10000000000000007,-3.7879588361891354,-4.0795854950492085,-3.787915563716329,-3.3174780717886314
0.10200000000000008,-3.5897226407986187,-3.9566313532988304,-3.589676457152462,-3.1207541111322064
0.10400000000000008,-3.3821524425163507,-3.7407893533223815,-3.3821039153977352,-2.9165834053232444
0.10600000000000008,-3.1661409105129676,-3.4422239028598445,-3.1660914110838814,-2.705453146610679
0.10800000000000008,-2.9425893044792906,-3.093124299849827,-2.9425398742591726,-2.4878671341323573
