,fom,rom,srom,piston
0.002,9.58049708386556e-08,0.004918139303304134,-2.5010437546290984e-07,-0.32780182795392476
0.004,4.985787881586081e-06,0.0022554027802110994,5.9284074228771025e-06,-0.6548369537406388
0.006,2.2561958056302382e-05,-0.006616870083637442,3.311996232204234e-05,-0.9803404684477227
0.008,6.223395159242283e-05,-0.016813522334789104,4.5723471681689694e-05,-1.3035510454781718
0.01,0.00013401595611344154,-0.02418001893628717,0.00017783013972152146,-1.6237127212321831
0.012,0.0002480648263653347,-0.026486789758456152,0.00029416863774398575,-1.940076663245344
0.014,0.00041444094256475674,-0.02236742666310001,0.00039478992313339,-2.251902921647668
0.016,0.0006429553930581772,-0.010051461555555261,0.0006424329721038179,-2.5584621598469526
0.018000000000000002,0.0009430117507015505,0.012655717840586157,0.0009651378991077267,-2.859037360388539
0.020000000000000004,0.0013233167997393218,0.04709136200721351,0.0012114081898156085,-3.1529255020015854
0.022000000000000006,0.0017911588545650255,0.09218458458387581,0.0015279954181431636,-3.4394392039094033
0.024000000000000007,0.002350459919441135,0.1438716610417475,0.002134266627879135,-3.7179083335579257
0.02600000000000001,0.0029966113986672096,0.1959417219502229,0.002902978181198334,-3.9876815740019684
0.02800000000000001,0.003703474649216642,0.2416376193819178,0.003530721411425064,-4.248127947283288
0.030000000000000013,0.0043927242116082715,0.2747627266736982,0.003997599094487367,-4.498638290237394
0.032000000000000015,0.004866554544916637,0.2894910450657547,0.0044437461936713924,-4.738626679277292
0.034000000000000016,0.00467079653802092,0.2793455443513314,0.004503638807044329,-4.96753180082174
0.03600000000000002,0.0028379206947335626,0.23675737646846376,0.002760425540243154,-5.184818264162653
0.03800000000000002,-0.0025562188686648903,0.15409609694755538,-0.0027480855244309175,-5.389977853701012
0.04000000000000002,-0.015089743105134933,0.026107102454865447,-0.015352258520739633,-5.582530717622351
0.04200000000000002,-0.040982050679064214,-0.14920632342569407,-0.04088163246440627,-5.7620264902316505
0.044000000000000025,-0.09031157940658652,-0.37150687989406567,-0.08960940426032238,-5.92804534532255
0.04600000000000003,-0.1781998666668728,-0.641020382992805,-0.1773562425754908,-6.080198978117143
0.04800000000000003,-0.3253153654359141,-0.9611270045220561,-0.32500174102516505,-6.218131513479702
0.05000000000000003,-0.5564452362592706,-1.338647675973531,-0.5566421247949691,-6.3415203382800485
0.05200000000000003,-0.8952734932351484,-1.7798409778865276,-0.8953568133663298,-6.450076855959772
0.054000000000000034,-1.3539228065370414,-2.2835172730704034,-1.3536371309041892,-6.543547161536429
0.056000000000000036,-1.91932537318107,-2.834234451902249,-1.9191197701618512,-6.6217126354669125
0.05800000000000004,-2.545613429508403,-3.400063614262437,-2.545737813098702,-6.684390454981013
