,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
17,1.3559179049307868e-05,2.9547429620992197e-05,1.2475889846104465e-05,5.311231939077513e-05,3.177901113981577e-05,3.19868083755479e-05,7.076491266762389e-05,1.6093428484017144e-05,3.951348267572774e-05,1.3352778931730968e-05,7.863211546194751e-05,2.618289020591657e-05,3.359902186159533e-05,1.9620155408980056e-05,2.8536569783629173e-05,1.5575536966967726e-05,4.9162204434924245e-05,1.788401843167166e-05,1.9096514809858563e-05,1.4614410670945778e-05
18,1.5529517808193323e-05,3.5861385415083184e-05,1.514086427670594e-05,6.371877019492206e-05,3.708452808754612e-05,3.848888303432674e-05,8.308946653530384e-05,1.8540436305589113e-05,4.589639323474656e-05,1.5499533036519148e-05,9.518501223829979e-05,3.048620395681619e-05,4.0641419224395744e-05,2.376693833244378e-05,3.326199429925234e-05,1.8198818457172815e-05,5.7109643494026224e-05,2.1766198355362393e-05,2.3073188825112678e-05,1.774623106962493e-05
19,1.8041273917608223e-05,4.281605266118552e-05,1.810573058798593e-05,7.646222070220673e-05,4.2526127055138565e-05,4.6270997430618184e-05,9.64899913138711e-05,2.095077747691223e-05,5.304165069746868e-05,1.8332361642834423e-05,0.00011335371101995453,3.593507947819639e-05,4.890770231668415e-05,2.8639837212147026e-05,3.912239666994363e-05,2.088919620292443e-05,6.665942891841225e-05,2.6089257097443938e-05,2.743072527909871e-05,2.1242921080522073e-05
20,2.1233167280905292e-05,5.034443579710283e-05,2.1356142512424306e-05,9.08537944468272e-05,4.8259464015058256e-05,5.495769812969943e-05,0.00011178420699254435,2.341914420402384e-05,6.152698304605509e-05,2.1853612038305937e-05,0.00013253408098367497,4.2653123181887765e-05,5.799426967926816e-05,3.401212183108838e-05,4.629474171078855e-05,2.3612521363616406e-05,7.848214529714474e-05,3.086523003898395e-05,3.216260773462344e-05,2.5220105629293133e-05
21,2.5052416779620287e-05,5.864678116703848e-05,2.499930696453038e-05,0.00010626588193348811,5.4795552429074836e-05,6.421312671918043e-05,0.00012999792508195477,2.6250143605092313e-05,7.182596707815415e-05,2.5897208816732e-05,0.00015261716988235286,5.043809957679999e-05,6.765129672102493e-05,3.980360127848965e-05,5.463124908190682e-05,2.6518828817233675e-05,9.273381610230513e-05,3.628034011771163e-05,3.740922796135905e-05,2.9862935010310774e-05
22,2.9325211148438335e-05,6.80178366610168e-05,2.9189657260003226e-05,0.00012231458191930072,6.276698807682941e-05,7.396103148795948e-05,0.00015178504395420118,2.9822148803141162e-05,8.404111071609472e-05,3.027454543597097e-05,0.00017381895474732193,5.893713544298447e-05,7.794944734056023e-05,4.6153935771231726e-05,6.378992076777459e-05,2.9900459289985674e-05,0.00010900942824945242,4.256763737147014e-05,4.333643373552538e-05,3.529274173288675e-05
23,3.3879058608277715e-05,7.858350927768135e-05,3.401492041566991e-05,0.0001390053118841658,7.258654543845788e-05,8.439772337409902e-05,0.00017708584557720215,3.4373950721217184e-05,9.788763484861246e-05,3.490049609823637e-05,0.000196147586541997,6.786922633794494e-05,8.919458788500177e-05,5.332903015079884e-05,7.344309699515379e-05,3.404922515956543e-05,0.000126633225771667,4.983822190460024e-05,4.9988737263402634e-05,4.1499345441433464e-05
24,3.863690599337704e-05,9.018847324620756e-05,3.944279943009583e-05,0.00015656366548391588,8.426068244082985e-05,9.579379320936148e-05,0.00020520979860134213,3.989543501636754e-05,0.00011287556985245405,3.9847283404592024e-05,0.00021898168379278212,7.716832436679748e-05,0.00010164567976848097,6.152431986125191e-05,8.343414152105567e-05,3.910496949626264e-05,0.00014502863946435046,5.8024353389357286e-05,5.7254081055198683e-05,4.840198280679617e-05
25,4.365278458136359e-05,0.00010255483176874362,4.53747911625974e-05,0.00017505854572534714,9.745456066915947e-05,0.00010821766595265376,0.00023519473438795015,4.619080980115796e-05,0.00012853979828808133,4.530487058673468e-05,0.00024120723435691035,8.698679769367328e-05,0.00011524553144751044,7.071913647009352e-05,9.38139822111361e-05,4.5020422924133356e-05,0.00016396605191019303,6.698630820618376e-05,6.498170579844358e-05,5.597891026535837e-05
26,4.907254262601443e-05,0.00011560582398940138,5.1762688021980016e-05,0.00019407940287317004,0.00011168614920238642,0.00012138931735917339,0.0002662039308883683,5.300270967903006e-05,0.0001446083124603184,5.146414307687348e-05,0.0002619685843102939,9.755740945202345e-05,0.00012958739405605674,8.070222823074137e-05,0.00010474320111229873,5.162893981235171e-05,0.00018358298977102074,7.669466643759571e-05,7.316953091836489e-05,6.434727569027634e-05
