timesteps,0.0,0.5,L
0.002,-2.7972054743288413e-06,-3.670291751028262e-05,-0.17987848413027904
0.004,-8.980102842322454e-06,-0.00010672314143843323,-0.3593334249461795
0.006,-2.0190394696595416e-05,-0.00020573610428801698,-0.5379422764117681
0.008,-3.715300168945528e-05,-0.000365579870702298,-0.7152844846998598
0.01,-6.0178499887395406e-05,-0.000697730404483409,-0.8909424784314051
0.012,-8.940864855772294e-05,-0.0015153140131190632,-1.064502651892391
0.014,-0.00012493444273837436,-0.0035921433938350565,-1.2355563389131574
0.016,-0.00016688250348403865,-0.008612296682771688,-1.4037007751170212
0.018000000000000002,-0.00021557284041723334,-0.019786773048628574,-1.5685400462724928
0.020000000000000004,-0.0002719603423568731,-0.04244079084546005,-1.7296860205160838
0.022000000000000006,-0.00033890055559404164,-0.08415135640109399,-1.8867592622506917
0.024000000000000007,-0.0004245748016665731,-0.15388305026420562,-2.039389925567686
0.02600000000000001,-0.0005511042900600472,-0.2597418879317312,-2.1872186250890353
0.02800000000000001,-0.0007745667151214494,-0.40562214163008337,-2.3298972821789863
0.030000000000000013,-0.001227774361782126,-0.5880906773440135,-2.4670899445328014
0.032000000000000015,-0.002203944673059632,-0.7956820703252194,-2.5984735772127303
0.034000000000000016,-0.004305525087411821,-1.0121534704769573,-2.723738823268658
0.03600000000000002,-0.008682593430874049,-1.2226706776515877,-2.842590732152447
0.03800000000000002,-0.017370878646288945,-1.4192184165894122,-2.954749454210851
0.04000000000000002,-0.03370058273816993,-1.6017438416857743,-3.059950899621743
0.04200000000000002,-0.0626767151612402,-1.7748816819678168,-3.1579473602221197
0.044000000000000025,-0.1111317991887582,-1.9432830260453153,-3.248508092763714
0.04600000000000003,-0.1873452367919891,-2.108791923515835,-3.3314198622228974
0.04800000000000003,-0.29977549929335284,-2.2704948245235967,-3.4064874438855575
0.05000000000000003,-0.4546986123222203,-2.4264103686557474,-3.4735340830247807
0.05200000000000003,-0.653075334067697,-2.574991892122646,-3.532401911088931
0.054000000000000034,-0.887902740585169,-2.71555309526383,-3.5829523174202085
0.056000000000000036,-1.1440812725680358,-2.8479023274960795,-3.625066275628412
0.05800000000000004,-1.402247784943967,-2.9718814743928204,-3.65864462385142
0.06000000000000004,-1.645507169157939,-3.0871909591821876,-3.68360829824251
0.06200000000000004,-1.865275664296124,-3.193452840352471,-3.699898519134718
0.06400000000000004,-2.0625262697364795,-3.290316232992323,-3.707476929443915
0.06600000000000004,-2.2440402663932897,-3.3774996193808517,-3.7063256849847033
0.06800000000000005,-2.4167240208734664,-3.4547806430955794,-3.6964474964864733
0.07000000000000005,-2.5837216379393046,-3.5219774048285704,-3.6778656232107045
0.07200000000000005,-2.744018044409509,-3.57894182536925,-3.650623818184518
0.07400000000000005,-2.8945836350646705,-3.6255616151979053,-3.614786225179453
0.07600000000000005,-3.0328199167758556,-3.661762775467756,-3.5704372276780267
0.07800000000000006,-3.15766928373331,-3.6875097601860825,-3.517681250183719
0.08000000000000006,-3.269275901281201,-3.702804256946214,-3.4566425123421958
0.08200000000000006,-3.368105322222213,-3.707683824085419,-3.387464736452746
0.08400000000000006,-3.454376839304516,-3.702220713066932,-3.310310809058604
0.08600000000000006,-3.5280237322517802,-3.6865207303924583,-3.2253623974129977
0.08800000000000006,-3.5889148086093376,-3.660722004255162,-3.132819521723984
0.09000000000000007,-3.6370301492491652,-3.6249936312976043,-3.032900084185269
0.09200000000000007,-3.6724903154721376,-3.579534221419591,-2.9258393559019638
0.09400000000000007,-3.6955037771262655,-3.524570351561303,-2.8118894229193625
0.09600000000000007,-3.70631857713913,-3.460354927153805,-2.691318592659134
0.09800000000000007,-3.7052079924972836,-3.387165452849671,-2.564410762160513
0.10000000000000007,-3.692475676325219,-3.3053022319725174,-2.4314647496140775
0.10200000000000008,-3.668460506693639,-3.215086532089393,-2.2927935907620456
0.10400000000000008,-3.633534746782507,-3.1168587548541833,-2.1487238018218204
0.10600000000000008,-3.588098672834443,-3.010976628409885,-1.9995946106683014
0.10800000000000008,-3.5325755203434364,-2.8978134151313095,-1.845757158085216
0.11000000000000008,-3.4674077917741926,-2.77775611597703,-1.6875736709662332
0.11200000000000009,-3.393054269792842,-2.651203662035885,-1.5254166094126265
0.11400000000000009,-3.3099870882810896,-2.518565103711951,-1.3596677897357496
0.11600000000000009,-3.218688738778394,-2.3802578219597557,-1.1907174854292975
0.11800000000000009,-3.1196491505062234,-2.2367057855561012,-1.0189635082282265
0.12000000000000009,-3.0133629564819757,-2.0883378676669353,-0.844810271418068
0.1220000000000001,-2.900326966856288,-1.9355862242047208,-0.6686678376001751
0.1240000000000001,-2.7810378266674256,-1.7788847326821018,-0.4909509531550576
0.12600000000000008,-2.6559898343658546,-1.6186674931062397,-0.3120780716772357
0.12800000000000009,-2.5256729094470747,-1.455367397032076,-0.13247036868106452
0.1300000000000001,-2.3905707082837395,-1.2894147729774526,0.04744925010248595
0.1320000000000001,-2.251158894335045,-1.1212361152140737,0.2272571445030383
0.1340000000000001,-2.1079035714585177,-0.9512529002813295,0.4065299374173451
0.1360000000000001,-1.9612598866144397,-0.7798804934158352,0.5848455116963875
0.1380000000000001,-1.8116708026592807,-0.6075271461472785,0.7617840040657848
0.1400000000000001,-1.6595660365452303,-0.4345930861034513,0.9369287937392137
0.1420000000000001,-1.5053611555539193,-0.2614696998519766,1.1098674833970292
0.1440000000000001,-1.3494568243565248,-0.08853880903272814,1.2801928702202958
0.1460000000000001,-1.1922381971435514,0.08382796080395981,1.4475039046937885
0.1480000000000001,-1.0340744500653816,0.2552697200947284,1.6114066349203826
0.1500000000000001,-0.8753184489790179,0.42543676605894903,1.7715151342233373
0.1520000000000001,-0.7163065462869123,0.5939909471312697,1.9274524098523245
0.1540000000000001,-0.5573584992470783,0.7606059442568901,2.078851290653571
