,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,5.140356158710753e-07,5.396842379429848e-07,4.957327724451144e-07,5.674172396533266e-07,5.67679993726001e-07,5.4889394582682e-07,5.899207899722659e-07,5.289047299161098e-07,5.687615383700418e-07,5.252536873613934e-07,5.834513146024254e-07,5.358623733929445e-07,5.471917323196123e-07,5.260294763407958e-07,5.245101368364935e-07,5.060770500788556e-07,5.779276637071595e-07,5.171739402836399e-07,5.176195454295292e-07,5.112006983463346e-07
11,5.418764512167895e-07,5.710312955845958e-07,5.257759414989857e-07,6.050874139048808e-07,6.007734991186216e-07,5.82750701930557e-07,6.237102797209762e-07,5.643950440950037e-07,5.998654037084919e-07,5.544832500373627e-07,6.178706576384076e-07,5.672292995235605e-07,5.825006252519005e-07,5.588581642070331e-07,5.526514245389799e-07,5.392475269102373e-07,6.062118046325908e-07,5.48223461702344e-07,5.485794976897553e-07,5.417868629924666e-07
12,5.68817244494049e-07,5.989717080555403e-07,5.527246143648576e-07,6.38888706293333e-07,6.308247984012885e-07,6.133876094953323e-07,6.52312286047681e-07,5.973691877818986e-07,6.257038852506428e-07,5.835336486248298e-07,6.496039884804733e-07,5.992033359931229e-07,6.144367052231038e-07,5.89009433517346e-07,5.823352123416666e-07,5.718299108090101e-07,6.362202129143795e-07,5.753611871201783e-07,5.754732796192536e-07,5.691228080666197e-07
13,5.947408884930886e-07,6.24257964522318e-07,5.777268904727448e-07,6.684504062169715e-07,6.59070485547663e-07,6.422774615249987e-07,6.770710579809648e-07,6.266385239888969e-07,6.475842172585781e-07,6.120544409026841e-07,6.780903258355642e-07,6.286955635107385e-07,6.440182090210202e-07,6.174006024991699e-07,6.113325942492191e-07,6.021573119880232e-07,6.667203272486118e-07,5.998679937117149e-07,5.99640948318449e-07,5.933644662350586e-07
14,6.1982530284416e-07,6.469652340880758e-07,5.997225203395508e-07,6.937244532088432e-07,6.862704284692057e-07,6.691741747911027e-07,7.01650510757298e-07,6.558015372311394e-07,6.711732271402624e-07,6.396667793540059e-07,7.023240973634732e-07,6.556280673990537e-07,6.695113804012257e-07,6.433881900939982e-07,6.386938968656877e-07,6.333959027821988e-07,6.968001533323969e-07,6.231083405230047e-07,6.224827647188076e-07,6.155290229248411e-07
15,6.446937890315312e-07,6.677303150316557e-07,6.187701184148769e-07,7.155754440492011e-07,7.111845399477086e-07,6.923734452491767e-07,7.278906803178972e-07,6.847301369008671e-07,6.973099404971462e-07,6.658979026157695e-07,7.230037407221666e-07,6.813112717092335e-07,6.919545608308445e-07,6.663993531064848e-07,6.652186250450793e-07,6.637466892320764e-07,7.246388664684231e-07,6.452348701770881e-07,6.441821802407946e-07,6.353877613399326e-07
16,6.672799395412864e-07,6.877479737923104e-07,6.35717804539646e-07,7.344409162437427e-07,7.337947305372776e-07,7.105130509253935e-07,7.561186973263221e-07,7.111330534751299e-07,7.230940194060081e-07,6.903794310682798e-07,7.420370004960074e-07,7.062529304891994e-07,7.110035543772896e-07,6.869750302371151e-07,6.91229668924584e-07,6.902066925245708e-07,7.499145866397143e-07,6.649324654155866e-07,6.633952214723976e-07,6.529415297095861e-07
17,6.863655273717484e-07,7.055451687462882e-07,6.517152258701905e-07,7.513489736503107e-07,7.561628228053475e-07,7.255748576449839e-07,7.821775701730987e-07,7.342868648256688e-07,7.472690556958949e-07,7.109726540937481e-07,7.608218614855714e-07,7.285298070944274e-07,7.267040717127113e-07,7.050340106563157e-07,7.162797754830804e-07,7.153122177490852e-07,7.717721203189787e-07,6.82090015975117e-07,6.80002564656352e-07,6.700224782643661e-07
18,7.050440393146559e-07,7.209817737929791e-07,6.661245141343936e-07,7.672295979180808e-07,7.749946562563585e-07,7.40788149802076e-07,8.039662381752903e-07,7.544486173951772e-07,7.687059122156839e-07,7.295218891177303e-07,7.784890909423224e-07,7.470776555506229e-07,7.402348587773055e-07,7.213522058540262e-07,7.37902949140812e-07,7.390001008257519e-07,7.895615110714014e-07,6.97945874290134e-07,6.952164032379204e-07,6.863404193686392e-07
19,7.24673247556556e-07,7.358797809893727e-07,6.790093054917857e-07,7.824145532695161e-07,7.940760065408132e-07,7.553212522970374e-07,8.235711519750533e-07,7.717823593764226e-07,7.87018218501018e-07,7.463811192587108e-07,7.936370693674483e-07,7.628971615332641e-07,7.52975085768278e-07,7.354698685539394e-07,7.553361985800186e-07,7.603529069246637e-07,8.045434333762091e-07,7.128050059255696e-07,7.09333168718016e-07,7.014421345698202e-07
