timesteps,0.0,0.5,L
0.002,-0.04732698855326087,-0.9485999849608693,-1.7993198549720715
0.004,-0.09493517858693924,-0.9970329264761132,-1.796455011284827
0.006,-0.14291815397678512,-1.0457467034247596,-1.7916836501062818
0.008,-0.19130930944242105,-1.0948492956718554,-1.785010835122132
0.01,-0.24012292454791864,-1.1443822197732005,-1.7764436479672663
0.012,-0.28936724782211437,-1.1943651179920698,-1.7659911807102628
0.014,-0.33904867014009255,-1.244810114519588,-1.7536645262042851
0.016,-0.3891730536865004,-1.2957255285953846,-1.739476766314605
0.018000000000000002,-0.43974615464389955,-1.3471140359896132,-1.7234429580352584
0.020000000000000004,-0.49077375789655364,-1.3989637305065423,-1.705580117509564
0.022000000000000006,-0.5422617204806771,-1.4512251401914267,-1.685907201971459
0.024000000000000007,-0.5942159862290283,-1.5037616939701237,-1.6644450896268228
0.02600000000000001,-0.6466425913704065,-1.5562583654903246,-1.6412165574961355
0.02800000000000001,-0.6995476672780868,-1.6080810040645566,-1.6162462572419924
0.030000000000000013,-0.7529374421369259,-1.6581068217180845,-1.5895606890071179
0.032000000000000015,-0.8068182414076379,-1.7045958929682032,-1.5611881732906543
0.034000000000000016,-0.8611964846823478,-1.7452224987510303,-1.5311588208925626
0.03600000000000002,-0.91607867047309,-1.7773849752731317,-1.499504500958043
0.03800000000000002,-0.9714713230097097,-1.798815784968964,-1.466258807155878
0.04000000000000002,-1.0273808278763434,-1.8083305570120543,-1.4314570220265952
0.04200000000000002,-1.0838129660305607,-1.806389901329536,-1.3951360795382943
0.044000000000000025,-1.140771690997272,-1.7951446457847384,-1.3573345258898608
0.04600000000000003,-1.1982561565750816,-1.7778498866875052,-1.3180924786031787
0.04800000000000003,-1.2562540387366432,-1.7578568826167558,-1.277451583947749
0.05000000000000003,-1.3147277205871806,-1.7376206346400247,-1.2354549727429007
0.05200000000000003,-1.3735881334781206,-1.7181516218065636,-1.1921472145844947
0.054000000000000034,-1.4326498298921093,-1.699103225119175,-1.1475742705447096
0.056000000000000036,-1.4915620253791735,-1.679363242462502,-1.1017834443950933
0.05800000000000004,-1.549716507479456,-1.657790741145535,-1.0548233324046576
0.06000000000000004,-1.606146632328353,-1.6337293705321196,-1.006743771766285
0.06200000000000004,-1.6594511639740086,-1.6071206089613383,-0.9575957877061886
0.06400000000000004,-1.7077952756212447,-1.5782926625956348,-0.9074315393325473
0.06600000000000004,-1.7490445592468717,-1.5476482766306787,-0.8563042642807936
0.06800000000000005,-1.7810610977216244,-1.5154522283308258,-0.8042682222142965
0.07000000000000005,-1.8021296950832824,-1.4817890180509512,-0.7513786372403974
0.07200000000000005,-1.8114069664641061,-1.4466379175798614,-0.6976916393029171
