,which,timesteps,mass,mass_change,outflow
0,rom,0.002,1.1894326780919267,-0.023479189177862736,-0.0683400929447591
1,rom,0.004,1.1892903788831595,-0.11882001958929411,-0.13841346144127817
2,rom,0.006,1.1889573980135695,-0.20727491492333883,-0.2105388686869761
3,rom,0.008,1.1884612792234661,-0.2873515255146786,-0.28489657562405574
4,rom,0.01,1.1878079919115108,-0.3662509973870187,-0.3615800126220216
5,rom,0.012,1.186996275233918,-0.4464190841192428,-0.44067009650873246
6,rom,0.014,1.1860223155750338,-0.5287488292720632,-0.5223073066528973
7,rom,0.016,1.1848812799168298,-0.6136205036053055,-0.6065860571977062
8,rom,0.018000000000000002,1.1835678335606126,-0.701247807535943,-0.69361948293409
9,rom,0.020000000000000004,1.182076288686686,-0.7917802360876691,-0.7835114503443884
10,rom,0.022000000000000006,1.180400712616262,-0.8853462366966158,-0.8763856932659372
11,rom,0.024000000000000007,1.1785349037398996,-0.9820832812957869,-0.9723806364040606
12,rom,0.02600000000000001,1.1764723794910787,-1.0821272775352608,-1.071621740949024
13,rom,0.02800000000000001,1.1742063946297585,-1.1856149405325422,-1.1742509549077382
14,rom,0.030000000000000013,1.1717299197289486,-1.2926893292424801,-1.2804335840983032
15,rom,0.032000000000000015,1.1690356373127886,-1.403499643762851,-1.3903237830222772
16,rom,0.034000000000000016,1.1661159211538972,-1.5182041191709184,-1.5040720727218844
17,rom,0.03600000000000002,1.162962820836105,-1.6369750709999686,-1.6218584843626493
18,rom,0.03800000000000002,1.1595680208698973,-1.7599949282274263,-1.7438690591965027
19,rom,0.04000000000000002,1.1559228411231952,-1.887449280989273,-1.8703044752360622
20,rom,0.04200000000000002,1.1520182237459402,-2.0195245309097554,-2.0013449997202497
21,rom,0.044000000000000025,1.1478447429995562,-2.1564124235833315,-2.137237635030086
22,rom,0.04600000000000003,1.1433925740516069,-2.29832935146701,-2.2782012694033873
23,rom,0.04800000000000003,1.1386514255936881,-2.445481050723841,-2.424476211453642
24,rom,0.05000000000000003,1.1336106498487115,-2.598096205105538,-2.5763214833125527
25,rom,0.05200000000000003,1.128259040773266,-2.7564218645941274,-2.734012190254642
26,rom,0.054000000000000034,1.122584962390335,-2.920662751488168,-2.897785207154593
27,rom,0.056000000000000036,1.1165763897673133,-3.090997404802176,-3.067866219155978
28,rom,0.05800000000000004,1.1102209727711263,-3.2674775287518942,-3.244375735440867
29,rom,0.06000000000000004,1.1035064796523057,-3.4498184382217856,-3.427190740254155
30,rom,0.06200000000000004,1.0964216990182392,-3.6371083396197768,-3.6155723257823245
31,rom,0.06400000000000004,1.0889580462938266,-3.8273552025900326,-3.807783676040676
32,rom,0.06600000000000004,1.081112278207879,-4.0168797699604575,-4.000411849772474
33,rom,0.06800000000000005,1.0728905272139848,-4.199753485338409,-4.187625587760636
34,rom,0.07000000000000005,1.0643132642665254,-4.367588104920106,-4.360843064878749
35,rom,0.07200000000000005,1.0554201747943044,-4.510069332682165,-4.5090903699739835
36,rom,0.07400000000000005,1.0462729869357967,-4.616443380581369,-4.620504406685495
37,rom,0.07600000000000005,1.036954401271979,-4.677756765557928,-4.684887973126186
38,rom,0.07800000000000006,1.027561959873565,-4.689187039683129,-4.696550144836611
39,rom,0.08000000000000006,1.0181976531132464,-4.651475987543008,-4.656113306946324
40,rom,0.08200000000000006,1.008956055923393,-4.570769787745149,-4.5704134225488975
41,rom,0.08400000000000006,0.9999145739622658,-4.4569770888667755,-4.4506091373815115
42,rom,0.08600000000000006,0.9911281475679259,-4.321319633578291,-4.309166185978695
43,rom,0.08800000000000006,0.9826292954279526,-4.173983013872701,-4.157238911540384
44,rom,0.09000000000000007,0.9744322155124351,-4.0225709019934826,-4.002841338253877
45,rom,0.09200000000000007,0.9665390118199787,-3.8715458368288878,-3.8504340884672934
46,rom,0.09400000000000007,0.9589460321651195,-3.7225740438467656,-3.7013283877895065
47,rom,0.09600000000000007,0.9516487156445916,-3.5753193293598384,-3.554702961475227
48,rom,0.09800000000000007,0.9446447548476802,-3.4284745914437975,-3.4087783345944636
49,rom,0.10000000000000007,0.9379348172788164,-3.2806726086944127,-3.261782150362604
50,rom,0.10200000000000008,0.9315220644129025,-3.131023397714705,-3.112652888713479
51,rom,0.10400000000000008,0.9254107236879576,-2.979384305621141,-2.9612134619729726
52,rom,0.10600000000000008,0.919604527190418,-2.8262908958094077,-2.8080763200959935
53,rom,0.10800000000000008,0.91410556010472,-2.672701477354461,-2.6543634537559595
54,rom,0.11000000000000008,0.9089137212810001,-2.51969668927951,-2.5012462869200474
55,rom,0.11200000000000009,0.904026773347602,-2.368246187814227,-2.349842172259066
56,rom,0.11400000000000009,0.8994407365297432,-2.219059419787728,-2.2008528206659346
57,rom,0.11600000000000009,0.895150535668451,-2.0725815854490124,-2.0547345262157855
58,rom,0.11800000000000009,0.8911504101879472,-1.9290448833569618,-1.9116415109038816
59,rom,0.12000000000000009,0.8874343561350232,-1.7885286088154817,-1.7716118504207916
60,rom,0.1220000000000001,0.8839962957526852,-1.6510630822849093,-1.6346513491504329
61,rom,0.1240000000000001,0.8808301038058836,-1.5166732271424954,-1.5007632130957966
62,rom,0.12600000000000008,0.8779296028441153,-1.3853946015368879,-1.369964068657394
63,rom,0.12800000000000009,0.875288525399736,-1.2572782521315662,-1.2423286510572165
64,rom,0.1300000000000001,0.872900489835589,-1.1323916936058775,-1.1179387761043997
65,rom,0.1320000000000001,0.8707589586253125,-1.0108087250145226,-0.9968681781894214
66,rom,0.1340000000000001,0.8688572549355309,-0.8925730035986568,-0.8791602107788252
67,rom,0.1360000000000001,0.8671886666109179,-0.7777120756924105,-0.7648060601378935
68,rom,0.1380000000000001,0.8657464066327613,-0.6662046527581844,-0.6537862967022707
69,rom,0.1400000000000001,0.8645238479998851,-0.5580133134489296,-0.5460868120218392
70,rom,0.1420000000000001,0.8635143533789655,-0.4531025663262467,-0.44166308221690637
71,rom,0.1440000000000001,0.8627114377345801,-0.35140225748458986,-0.3404669667473005
72,rom,0.1460000000000001,0.8621087443490272,-0.2528541658986805,-0.24241958581880857
73,rom,0.1480000000000001,0.8617000210709854,-0.15741340424271777,-0.14745597318241938
74,rom,0.1500000000000001,0.8614790907320563,-0.06503383251552086,-0.055523085998117415
75,rom,0.1520000000000001,0.8614398857409233,0.024371850188525945,0.03343940439092861
76,rom,0.1540000000000001,0.8615765781328104,0.1108915600018523,0.11956343926701443
77,rom,0.1560000000000001,0.8618834519809307,0.19457392599192547,0.20286442519971187
78,rom,0.1580000000000001,0.8623548738367781,0.27549547979247024,0.28344114518592345
79,rom,0.16000000000000011,0.8629854339001006,0.3537422475841656,0.36137207691301687
80,rom,0.16200000000000012,0.8637698428271148,0.42938605633524585,0.4367069833583134
81,rom,0.16400000000000012,0.8647029781254416,0.5024954037553264,0.5095518181779608
82,rom,0.16600000000000012,0.8657798244421361,0.5731442913902152,0.5799766937835106
83,rom,0.16800000000000012,0.8669955552910025,0.6414123443000685,0.6480639697774452
84,rom,0.17000000000000012,0.8683454738193364,0.7073485359617715,0.7138870823328877
85,rom,0.17200000000000013,0.8698249494348496,0.7710250129671914,0.7775126795068542
86,rom,0.17400000000000013,0.8714295738712051,0.8325235855199953,0.8390083408962425
87,rom,0.17600000000000013,0.8731550437769295,0.8919034981548224,0.8984510496565212
88,rom,0.17800000000000013,0.8749971878638244,0.9492285467924688,0.9559159795585838
89,rom,0.18000000000000013,0.8769519579640994,1.0045577610443557,1.0114683811825667
90,rom,0.18200000000000013,0.8790154189080018,1.0579432365288577,1.0651737950037736
91,rom,0.18400000000000014,0.8811837309102148,1.1094383736606483,1.1170815912931797
92,rom,0.18600000000000014,0.8834531724026444,1.159102143932722,1.1672655588621421
93,rom,0.18800000000000014,0.8858201394859457,1.2069856948990487,1.2157822289237183
94,rom,0.19000000000000014,0.8882811151822406,1.2531370270610076,1.2626935007895732
95,rom,0.19200000000000014,0.8908326875941898,1.297604684338094,1.3080557351447675
96,rom,0.19400000000000014,0.893471533919593,1.3404356779564974,1.3519249423934763
97,rom,0.19600000000000015,0.8961944303060158,1.3816732350724892,1.3943511309842946
98,rom,0.19800000000000015,0.898998226859883,1.4213560929282887,1.4353799585157356
99,rom,0.20000000000000015,0.9018798546777289,1.459524073783497,1.4750622629831038
100,rom,0.20200000000000015,0.9048363231550169,1.4962158191460795,1.51344448357261
101,rom,0.20400000000000015,0.9078647179543132,1.5314690732861347,1.5505713381519872
102,rom,0.20600000000000016,0.9109621994481615,1.5653207151271609,1.58648621265259
103,rom,0.20800000000000016,0.9141260008148219,1.5978064774826717,1.6212306856002443
104,rom,0.21000000000000016,0.9173534253580922,1.6289604532622737,1.654844355228403
105,rom,0.21200000000000016,0.920641842627871,1.6588144792203663,1.6873651198665687
106,rom,0.21400000000000016,0.9239886832749736,1.6873976822353587,1.718829703159331
107,rom,0.21600000000000016,0.9273914333568124,1.7147360567170145,1.7492721402601226
108,rom,0.21800000000000017,0.9308476275018417,1.7408533188632003,1.7787254496348268
109,rom,0.22000000000000017,0.9343548466322652,1.7657717811390972,1.8072226296433376
110,rom,0.22200000000000017,0.9379107146263981,1.7895122661150953,1.834794381908971
111,rom,0.22400000000000017,0.9415128956967256,1.812094265388392,1.8614695725375454
112,rom,0.22600000000000017,0.9451590916879516,1.8335355875754578,1.887275750892114
113,rom,0.22800000000000017,0.9488470380470274,1.853853272003464,1.9122393798848607
114,rom,0.23000000000000018,0.9525745047759655,1.8730575198334376,1.9363895979722248
115,rom,0.23200000000000018,0.9563392681263612,1.891155434805697,1.959742513142916
116,rom,0.23400000000000018,0.9601391265151883,1.9081532987125227,1.9823269279433364
117,rom,0.23600000000000018,0.9639718813212113,1.9240501483064054,2.0041631800965485
118,rom,0.23800000000000018,0.9678353271084139,1.9388434094556872,2.025269530471585
119,rom,0.24000000000000019,0.971727254959034,1.9525237378724414,2.0456684210305363
120,rom,0.2420000000000002,0.9756454220599037,1.965072227904846,2.065384036598985
121,rom,0.2440000000000002,0.9795875438706534,1.9764604622748982,2.084418605017992
122,rom,0.2460000000000002,0.9835512639090033,1.9866567242126099,2.1027916383678873
123,rom,0.2480000000000002,0.9875341707675038,1.9956149162330405,2.1205329108188993
124,rom,0.25000000000000017,0.9915337235739354,2.0032738407378123,2.1376399622358737
125,rom,0.25200000000000017,0.9955472661304551,2.0095635158823564,2.1541277885470724
