,which,timesteps,mass,mass_change,outflow
0,fom,0.002,1.1018498142473827,-0.08447219772978087,-0.08794163289009294
1,fom,0.004,1.1015874156113203,-0.1779264383326984,-0.1777733168708114
2,fom,0.006,1.101138108494052,-0.27174809079555384,-0.26982841627183834
3,fom,0.008,1.1005004232481381,-0.36689223500174784,-0.3642697771676127
4,fom,0.01,1.099670539554045,-0.4641742744088684,-0.4612074662829523
5,fom,0.012,1.0986437261505027,-0.563929450710321,-0.5607369391078917
6,fom,0.014,1.0974148217512036,-0.6663332092872176,-0.6629514890722982
7,fom,0.016,1.0959783933133538,-0.7715092193013029,-0.7679463856230222
8,fom,0.018000000000000002,1.0943287848739984,-0.8795660703049824,-0.8758203368066383
9,fom,0.020000000000000004,1.0924601290321339,-0.9906098326228907,-0.9866760978196515
10,fom,0.022000000000000006,1.0903663455435069,-1.1047484257109552,-1.1006208128683228
11,fom,0.024000000000000007,1.08804113532929,-1.2220932087716463,-1.2177662779141991
12,fom,0.02600000000000001,1.0854779727084203,-1.342759622897094,-1.338229177043519
13,fom,0.02800000000000001,1.0826700968377017,-1.4668674561812978,-1.4621312787634018
14,fom,0.030000000000000013,1.079610502883695,-1.5945407545682744,-1.5895994776920748
15,fom,0.032000000000000015,1.0762919338194286,-1.7259068691692914,-1.7207652877758866
16,fom,0.034000000000000016,1.072706875407018,-1.861093059415786,-1.855762616677016
17,fom,0.03600000000000002,1.0688475615817654,-2.0002166783418263,-1.9947207104645799
18,fom,0.03800000000000002,1.0647060086936506,-2.143360168520958,-2.1377449109267985
19,fom,0.04000000000000002,1.0602741209076816,-2.2905140082584152,-2.284869957692139
20,fom,0.04200000000000002,1.055543952660617,-2.441460274511087,-2.435958742888101
21,fom,0.044000000000000025,1.0505082798096372,-2.5955622124426148,-2.590507584907454
22,fom,0.04600000000000003,1.0451617038108465,-2.7514341209974313,-2.747319449742596
23,fom,0.04800000000000003,1.0395025433256475,-2.906509662314427,-2.9040410681127047
24,fom,0.05000000000000003,1.0335356651615888,-3.0566172195767294,-3.056650843040786
25,fom,0.05200000000000003,1.0272760744473406,-3.19578823345823,-3.1991267609859158
26,fom,0.054000000000000034,1.0207525122277559,-3.3165947254300554,-3.3236472466880684
27,fom,0.056000000000000036,1.0140096955456204,-3.4112251290685514,-3.4216423677902235
28,fom,0.05800000000000004,1.0071076117114817,-3.473202632854111,-3.485693695141917
29,fom,0.06000000000000004,1.000116885014204,-3.499230601923503,-3.511743439905192
30,fom,0.06200000000000004,0.9931106893037877,-3.490389883908984,-3.50065847522087
31,fom,0.06400000000000004,0.986155325478568,-3.4520677007554568,-3.4583039696305193
32,fom,0.06600000000000004,0.9793024185007658,-3.3925462087039113,-3.393961164829677
33,fom,0.06800000000000005,0.9725851406437523,-3.320791038670501,-3.3177342336489866
34,fom,0.07000000000000005,0.9660192543460838,-3.244286351796882,-3.237994881083184
35,fom,0.07200000000000005,0.9596079952365648,-3.1676416689180864,-3.1597467120324754
36,fom,0.07400000000000005,0.9533486876704115,-3.0922980582698267,-3.0842915418346926
37,fom,0.07600000000000005,0.9472388030034855,-3.01722303971802,-3.0100637998840187
38,fom,0.07800000000000006,0.9412797955115394,-2.940169647710239,-2.93413998104975
39,fom,0.08000000000000006,0.9354781244126446,-2.8589590955938324,-2.853783571253334
40,fom,0.08200000000000006,0.9298439591291641,-2.7723404696348153,-2.76747512174641
41,fom,0.08400000000000006,0.9243887625341053,-2.680232823215861,-2.675173306189388
42,fom,0.08600000000000006,0.9191230278363006,-2.5834438887565034,-2.577921015081172
43,fom,0.08800000000000006,0.9140549869790793,-2.48314682344819,-2.4771601016640306
44,fom,0.09000000000000007,0.9091904405425079,-2.3804110260964295,-2.374138523024242
