,0
0,3.1622776601683795
1,3.1622776601683786
2,3.1622776601683786
3,3.1622776599345106
4,3.1622560730594533
5,0.011684399544701197
6,6.844700467067675e-05
7,8.69535930064588e-08
8,3.4104352802741697e-10
9,2.869690449758738e-10
10,1.9060691788008424e-10
11,1.7618066238170884e-10
12,1.2793383786668288e-10
13,9.645457389350119e-11
14,4.6411828993249284e-12
15,2.952385936368976e-12
16,2.6367843378529186e-12
17,1.9840007383235266e-12
18,1.7926371503152427e-12
19,1.3842901330459e-12
20,1.1471268315757718e-12
21,1.0768253075040536e-12
22,8.342427250411607e-13
23,3.5883783066303767e-14
24,3.2922901269908445e-14
25,3.1768357515183145e-14
26,2.905508631931041e-14
27,2.5613128313175365e-14
28,2.4558113810701132e-14
29,2.2555175113432507e-14
30,1.8772492524342825e-14
31,1.8331718450077104e-14
32,3.6464345971095375e-15
33,1.9364165079902647e-15
34,1.2854642844190992e-15
35,1.1113485625355988e-15
36,7.987835874869074e-16
37,7.506934708973663e-16
38,6.137965945535111e-16
39,5.813238980823049e-16
40,5.141232393580981e-16
41,4.714870898759966e-16
42,3.9864526521422745e-16
43,3.8182651380457485e-16
44,3.5435690621193225e-16
45,3.483596322914415e-16
46,3.304101004956922e-16
47,3.235491220369496e-16
48,3.0602298493732584e-16
49,2.819358621905495e-16
